Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
143,143,0,0003e00000000080,01,06,0,00000010176339d7,1,0
144,144,0,4803c00000000080,11,04,4,0000001017633aac,1,0
145,145,0,2800300000008180,01,06,0,0000001017633bdb,1,0
146,146,0,2804300000008280,01,06,0,0000001017633bdd,1,0
147,147,0,2804300000008380,01,06,0,0000001017633bdf,1,0
148,148,0,2840300000008480,01,06,0,0000001017633be1,1,0
149,149,0,2840300000008580,01,06,0,0000001017633be3,1,0
150,150,0,2843f00000008680,01,06,0,0000001017633be5,1,0
151,151,0,5003c00000008180,11,04,4,0000001017633c36,1,0
152,152,0,5007c00000008280,11,04,4,0000001017633c4c,1,0
153,153,0,5007c00000008380,11,04,4,0000001017633c62,1,0
154,154,0,5043c00000008480,11,04,4,0000001017633c78,1,0
155,155,0,0007e00000008180,11,04,2,0000001017633c89,1,0
156,156,0,5043c00000008580,11,04,4,0000001017633c8e,1,0
157,157,0,0007e00000008280,11,04,2,0000001017633ca0,1,0
158,158,0,5043c00000008680,11,04,4,0000001017633ca4,1,0
159,159,0,0007e00000008380,11,04,2,0000001017633cb5,1,0
160,160,0,0007e00000008480,11,04,2,0000001017633ccb,1,0
161,161,0,0007e00000008580,11,04,2,0000001017633ce1,1,0
162,162,0,0003e00000008080,01,06,0,0000001017633cf7,1,0
163,163,0,0007e00000008680,11,04,2,0000001017633cf9,1,0
164,164,0,4803c00000008080,11,04,4,0000001017633e45,1,0
165,165,0,7007e40000000080,01,08,5,0000001017633f1f,1,0
166,166,0,2004200000000080,01,0a,1,0000001017633f60,1,0
167,167,0,3803e00000008080,01,06,0,00000010176340b9,1,0
168,168,0,2800300000008180,01,06,0,00000010176340c6,1,0
169,169,0,2800300000008280,01,06,0,00000010176340c8,1,0
170,170,0,2804300000008380,01,06,0,00000010176340ca,1,0
171,171,0,2840300000008480,01,06,0,00000010176340cc,1,0
172,172,0,2840300000008580,01,06,0,00000010176340ce,1,0
173,173,0,2843f00000008680,01,06,0,00000010176340d0,1,0
174,174,0,5000000000008080,01,0a,3,00000010176340d2,1,0
175,175,0,5003c00000008180,11,04,4,000000101763411f,1,0
176,176,0,5003c00000008280,11,04,4,0000001017634135,1,0
177,177,0,5007c00000008380,11,04,4,000000101763414b,1,0
178,178,0,5043c00000008480,11,04,4,0000001017634161,1,0
179,179,0,0007e00000008180,11,04,2,0000001017634173,1,0
180,180,0,5043c00000008580,11,04,4,0000001017634177,1,0
181,181,0,0007e00000008280,11,04,2,0000001017634189,1,0
182,182,0,5043c00000008680,11,04,4,000000101763418d,1,0
183,183,0,0007e00000008380,11,04,2,000000101763419e,1,0
184,184,0,0007e00000008480,11,04,2,00000010176341b3,1,0
185,185,0,0007e00000008580,11,04,2,00000010176341c9,1,0
186,186,0,0007e00000008680,11,04,2,00000010176341e0,1,0
187,187,0,5807e40000008080,01,08,5,000000101763421f,1,0
188,188,0,1807e00000008080,11,04,2,000000101763426b,1,0
189,189,0,2804300000008180,01,06,0,00000010176344e8,1,0
190,190,0,2800300000008280,01,06,0,00000010176344ea,1,0
191,191,0,2800300000008380,01,06,0,00000010176344ec,1,0
192,192,0,2844300000008480,01,06,0,00000010176344ee,1,0
193,193,0,2840300000008580,01,06,0,00000010176344f0,1,0
194,194,0,2843f00000008680,01,06,0,00000010176344f2,1,0
195,195,0,5007c00000008180,11,04,4,0000001017634543,1,0
196,196,0,5003c00000008280,11,04,4,0000001017634559,1,0
