Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_sys/traceOut_src[2:0],i_app/dcs_odd/i_trace_sys/traceOut_ts[63:0],i_app/dcs_odd/i_trace_sys/dump_1,i_app/dcs_odd/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,0007e00000008500,11,05,2,00000019edaff010,1,0
18,18,0,0007e00000008600,11,05,2,00000019edaff032,1,0
19,19,0,5803e40000008000,01,09,5,00000019edaff0e6,1,0
20,20,0,1803e00000008000,11,05,2,00000019edaff132,1,0
21,21,0,2800300000008100,01,07,0,00000019edaff558,1,0
22,22,0,2800300000008200,01,07,0,00000019edaff55b,1,0
23,23,0,2800300000008300,01,07,0,00000019edaff55e,1,0
24,24,0,2840300000008400,01,07,0,00000019edaff561,1,0
25,25,0,2844300000008500,01,07,0,00000019edaff564,1,0
26,26,0,2840300000008600,01,07,0,00000019edaff567,1,0
27,27,0,5003c00000008100,11,05,4,00000019edaff5ff,1,0
28,28,0,5003c00000008200,11,05,4,00000019edaff627,1,0
29,29,0,5003c00000008300,11,05,4,00000019edaff64b,1,0
30,30,0,0007e00000008100,11,05,2,00000019edaff64d,1,0
31,31,0,5043c00000008400,11,05,4,00000019edaff66e,1,0
32,32,0,0007e00000008200,11,05,2,00000019edaff674,1,0
33,33,0,5047c00000008500,11,05,4,00000019edaff692,1,0
34,34,0,0007e00000008300,11,05,2,00000019edaff69a,1,0
35,35,0,5043c00000008600,11,05,4,00000019edaff6b5,1,0
36,36,0,0007e00000008400,11,05,2,00000019edaff6be,1,0
37,37,0,0007e00000008500,11,05,2,00000019edaff6e2,1,0
38,38,0,0007e00000008600,11,05,2,00000019edaff702,1,0
39,39,0,0003e00000008000,01,07,0,00000019edaff71a,1,0
40,40,0,4803c00000008000,11,05,4,00000019edaff965,1,0
41,41,0,7003e40000000000,01,09,5,00000019edaffa7a,1,0
42,42,0,2000200000000000,01,0b,1,00000019edaffabc,1,0
43,43,0,3807e00000008000,01,07,0,00000019edaffd09,1,0
44,44,0,2804300000008100,01,07,0,00000019edaffd1f,1,0
45,45,0,2800300000008200,01,07,0,00000019edaffd22,1,0
46,46,0,2804300000008300,01,07,0,00000019edaffd25,1,0
47,47,0,2840300000008400,01,07,0,00000019edaffd28,1,0
48,48,0,2844300000008500,01,07,0,00000019edaffd2b,1,0
49,49,0,2840300000008600,01,07,0,00000019edaffd2e,1,0
50,50,0,5004000000008000,01,0b,3,00000019edaffd57,1,0
51,51,0,5007c00000008100,11,05,4,00000019edaffdc7,1,0
52,52,0,5003c00000008200,11,05,4,00000019edaffdea,1,0
53,53,0,5007c00000008300,11,05,4,00000019edaffe0d,1,0
54,54,0,0007e00000008100,11,05,2,00000019edaffe16,1,0
55,55,0,5043c00000008400,11,05,4,00000019edaffe31,1,0
56,56,0,0007e00000008200,11,05,2,00000019edaffe3a,1,0
57,57,0,5047c00000008500,11,05,4,00000019edaffe54,1,0
58,58,0,0007e00000008300,11,05,2,00000019edaffe5c,1,0
59,59,0,5043c00000008600,11,05,4,00000019edaffe78,1,0
60,60,0,0007e00000008400,11,05,2,00000019edaffe7e,1,0
61,61,0,0007e00000008500,11,05,2,00000019edaffea4,1,0
62,62,0,0007e00000008600,11,05,2,00000019edaffec8,1,0
63,63,0,5803e40000008000,01,09,5,00000019edafff83,1,0
64,64,0,1803e00000008000,11,05,2,00000019edafffcf,1,0
65,65,0,0003e00000000000,01,07,0,00000019edb001ac,1,0
66,66,0,4803c00000000000,11,05,4,00000019edb0036f,1,0
67,67,0,2804300000008100,01,07,0,00000019edb00509,1,0
68,68,0,2804300000008200,01,07,0,00000019edb0050d,1,0
69,69,0,2800300000008300,01,07,0,00000019edb00510,1,0
70,70,0,2840300000008400,01,07,0,00000019edb00513,1,0
71,71,0,2840300000008500,01,07,0,00000019edb00516,1,0
72,72,0,2840300000008600,01,07,0,00000019edb00519,1,0
73,73,0,5007c00000008100,11,05,4,00000019edb005b0,1,0
74,74,0,5007c00000008200,11,05,4,00000019edb005d3,1,0
75,75,0,5003c00000008300,11,05,4,00000019edb005f7,1,0
76,76,0,0007e00000008100,11,05,2,00000019edb005fd,1,0
77,77,0,5043c00000008400,11,05,4,00000019edb0061a,1,0
78,78,0,0007e00000008200,11,05,2,00000019edb00622,1,0
79,79,0,5043c00000008500,11,05,4,00000019edb0063e,1,0
80,80,0,0007e00000008300,11,05,2,00000019edb00646,1,0
81,81,0,5043c00000008600,11,05,4,00000019edb00661,1,0
82,82,0,0007e00000008400,11,05,2,00000019edb0066a,1,0
83,83,0,0007e00000008500,11,05,2,00000019edb0068c,1,0
84,84,0,0007e00000008600,11,05,2,00000019edb006ae,1,0
85,85,0,0003e00000008000,01,07,0,00000019edb006c8,1,0
86,86,0,2804300000008200,01,07,0,00000019edaf5e23,1,0
87,87,0,2800300000008300,01,07,0,00000019edaf5e26,1,0
88,88,0,2844300000008400,01,07,0,00000019edaf5e29,1,0
89,89,0,2840300000008500,01,07,0,00000019edaf5e2c,1,0
90,90,0,2840300000008600,01,07,0,00000019edaf5e2f,1,0
91,91,0,5007c00000008100,11,05,4,00000019edaf5ec7,1,0
92,92,0,5007c00000008200,11,05,4,00000019edaf5eea,1,0
93,93,0,5003c00000008300,11,05,4,00000019edaf5f0e,1,0
94,94,0,0007e00000008100,11,05,2,00000019edaf5f16,1,0
95,95,0,5047c00000008400,11,05,4,00000019edaf5f31,1,0
96,96,0,0007e00000008200,11,05,2,00000019edaf5f38,1,0
97,97,0,5043c00000008500,11,05,4,00000019edaf5f55,1,0
98,98,0,0007e00000008300,11,05,2,00000019edaf5f5c,1,0
99,99,0,5043c00000008600,11,05,4,00000019edaf5f78,1,0
100,100,0,0007e00000008400,11,05,2,00000019edaf5f80,1,0
101,101,0,0007e00000008500,11,05,2,00000019edaf5fa4,1,0
102,102,0,0007e00000008600,11,05,2,00000019edaf5fc8,1,0
103,103,0,0003e00000008000,01,07,0,00000019edaf5fdc,1,0
104,104,0,4803c00000008000,11,05,4,00000019edaf6226,1,0
105,105,0,7003e40000000000,01,09,5,00000019edaf633d,1,0
106,106,0,2000200000000000,01,0b,1,00000019edaf637d,1,0
107,107,0,3807e00000008000,01,07,0,00000019edaf65cb,1,0
108,108,0,2800300000008100,01,07,0,00000019edaf65e1,1,0
109,109,0,2800300000008200,01,07,0,00000019edaf65e4,1,0
110,110,0,2800300000008300,01,07,0,00000019edaf65e7,1,0
111,111,0,2840300000008400,01,07,0,00000019edaf65ea,1,0
112,112,0,2840300000008500,01,07,0,00000019edaf65ed,1,0
113,113,0,2844300000008600,01,07,0,00000019edaf65f0,1,0
114,114,0,5004000000008000,01,0b,3,00000019edaf6619,1,0
115,115,0,5003c00000008100,11,05,4,00000019edaf6688,1,0
116,116,0,5003c00000008200,11,05,4,00000019edaf66b0,1,0
117,117,0,5003c00000008300,11,05,4,00000019edaf66d4,1,0
118,118,0,0007e00000008100,11,05,2,00000019edaf66d8,1,0
119,119,0,5043c00000008400,11,05,4,00000019edaf66f7,1,0
120,120,0,0007e00000008200,11,05,2,00000019edaf66ff,1,0
121,121,0,5043c00000008500,11,05,4,00000019edaf671b,1,0
122,122,0,0007e00000008300,11,05,2,00000019edaf6724,1,0
123,123,0,5047c00000008600,11,05,4,00000019edaf673e,1,0
124,124,0,0007e00000008400,11,05,2,00000019edaf6746,1,0
125,125,0,0007e00000008500,11,05,2,00000019edaf6768,1,0
126,126,0,0007e00000008600,11,05,2,00000019edaf678c,1,0
127,127,0,5803e40000008000,01,09,5,00000019edaf6848,1,0
128,128,0,1803e00000008000,11,05,2,00000019edaf6894,1,0
129,129,0,0003e00000000000,01,07,0,00000019edaf6a71,1,0
130,130,0,4803c00000000000,11,05,4,00000019edaf6c32,1,0
131,131,0,2804300000008100,01,07,0,00000019edaf6dcf,1,0
132,132,0,2800300000008200,01,07,0,00000019edaf6dd2,1,0
133,133,0,2800300000008300,01,07,0,00000019edaf6dd5,1,0
134,134,0,2844300000008400,01,07,0,00000019edaf6dd8,1,0
135,135,0,2840300000008500,01,07,0,00000019edaf6ddb,1,0
136,136,0,2840300000008600,01,07,0,00000019edaf6dde,1,0
137,137,0,5007c00000008100,11,05,4,00000019edaf6e76,1,0
