Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,2804300000008180,01,06,0,000000092759dc87,1,0
18,18,0,2804300000008280,01,06,0,000000092759dc89,1,0
19,19,0,2804300000008380,01,06,0,000000092759dc8b,1,0
20,20,0,2840300000008480,01,06,0,000000092759dc8d,1,0
21,21,0,2840300000008580,01,06,0,000000092759dc8f,1,0
22,22,0,2847f00000008680,01,06,0,000000092759dc91,1,0
23,23,0,5007c00000008180,11,04,4,000000092759dce0,1,0
24,24,0,5007c00000008280,11,04,4,000000092759dcf6,1,0
25,25,0,5007c00000008380,11,04,4,000000092759dd0c,1,0
26,26,0,5043c00000008480,11,04,4,000000092759dd22,1,0
27,27,0,0007e00000008180,11,04,2,000000092759dd35,1,0
28,28,0,5043c00000008580,11,04,4,000000092759dd38,1,0
29,29,0,0007e00000008280,11,04,2,000000092759dd4b,1,0
30,30,0,5047c00000008680,11,04,4,000000092759dd4e,1,0
31,31,0,0007e00000008380,11,04,2,000000092759dd5f,1,0
32,32,0,0007e00000008480,11,04,2,000000092759dd76,1,0
33,33,0,0007e00000008580,11,04,2,000000092759dd8d,1,0
34,34,0,0003e00000008080,01,06,0,000000092759dda1,1,0
35,35,0,0007e00000008680,11,04,2,000000092759dda4,1,0
36,36,0,4803c00000008080,11,04,4,000000092759def0,1,0
37,37,0,7007e40000000080,01,08,5,000000092759dfc9,1,0
38,38,0,2004200000000080,01,0a,1,000000092759e00c,1,0
39,39,0,3807e00000008080,01,06,0,000000092759e178,1,0
40,40,0,2800300000008180,01,06,0,000000092759e185,1,0
41,41,0,2800300000008280,01,06,0,000000092759e187,1,0
42,42,0,2800300000008380,01,06,0,000000092759e189,1,0
43,43,0,2844300000008480,01,06,0,000000092759e18b,1,0
44,44,0,2840300000008580,01,06,0,000000092759e18d,1,0
45,45,0,2847f00000008680,01,06,0,000000092759e18f,1,0
46,46,0,5004000000008080,01,0a,3,000000092759e191,1,0
47,47,0,5003c00000008180,11,04,4,000000092759e1e0,1,0
48,48,0,5003c00000008280,11,04,4,000000092759e1f6,1,0
49,49,0,5003c00000008380,11,04,4,000000092759e20c,1,0
50,50,0,5047c00000008480,11,04,4,000000092759e222,1,0
51,51,0,0007e00000008180,11,04,2,000000092759e234,1,0
52,52,0,5043c00000008580,11,04,4,000000092759e238,1,0
53,53,0,0007e00000008280,11,04,2,000000092759e24b,1,0
54,54,0,5047c00000008680,11,04,4,000000092759e24e,1,0
55,55,0,0007e00000008380,11,04,2,000000092759e261,1,0
56,56,0,0007e00000008480,11,04,2,000000092759e275,1,0
57,57,0,0007e00000008580,11,04,2,000000092759e28c,1,0
58,58,0,0007e00000008680,11,04,2,000000092759e2a3,1,0
59,59,0,5807e40000008080,01,08,5,000000092759e2e6,1,0
60,60,0,1807e00000008080,11,04,2,000000092759e334,1,0
61,61,0,0003e00000000080,01,06,0,000000092759e45a,1,0
62,62,0,4803c00000000080,11,04,4,000000092759e558,1,0
63,63,0,2804300000008180,01,06,0,000000092759e675,1,0
64,64,0,2800300000008280,01,06,0,000000092759e677,1,0
65,65,0,2800300000008380,01,06,0,000000092759e679,1,0
66,66,0,2840300000008480,01,06,0,000000092759e67b,1,0
67,67,0,2840300000008580,01,06,0,000000092759e67d,1,0
68,68,0,2847f00000008680,01,06,0,000000092759e67f,1,0
69,69,0,5007c00000008180,11,04,4,000000092759e6ce,1,0
70,70,0,5003c00000008280,11,04,4,000000092759e6e4,1,0
71,71,0,5003c00000008380,11,04,4,000000092759e6fa,1,0
72,72,0,5043c00000008480,11,04,4,000000092759e710,1,0
73,73,0,0007e00000008180,11,04,2,000000092759e723,1,0
74,74,0,5043c00000008580,11,04,4,000000092759e726,1,0
75,75,0,0007e00000008280,11,04,2,000000092759e738,1,0
76,76,0,5047c00000008680,11,04,4,000000092759e73c,1,0
77,77,0,0007e00000008380,11,04,2,000000092759e74f,1,0
78,78,0,0007e00000008480,11,04,2,000000092759e764,1,0
79,79,0,0007e00000008580,11,04,2,000000092759e77b,1,0
80,80,0,0007e00000008080,01,06,0,000000092759e78c,1,0
81,81,0,0007e00000008680,11,04,2,000000092759e792,1,0
82,82,0,4807c00000008080,11,04,4,000000092759e8dc,1,0
83,83,0,7007e40000000080,01,08,5,000000092759eb14,1,0
84,84,0,2004200000000080,01,0a,1,000000092759eb58,1,0
85,85,0,0007e00000000080,01,06,0,000000092759ed1a,1,0
86,86,0,4807c00000000080,11,04,4,000000092759ee19,1,0
87,87,0,7007e40000000080,01,08,5,000000092759f7c6,1,0
88,88,0,5047c00000008580,11,04,4,0000000927597279,1,0
89,89,0,0007e00000008280,11,04,2,000000092759728c,1,0
90,90,0,5043c00000008680,11,04,4,000000092759728f,1,0
91,91,0,0007e00000008380,11,04,2,00000009275972a1,1,0
92,92,0,0007e00000008480,11,04,2,00000009275972b7,1,0
93,93,0,0007e00000008580,11,04,2,00000009275972ce,1,0
94,94,0,0007e00000008080,01,06,0,00000009275972df,1,0
95,95,0,0007e00000008680,11,04,2,00000009275972e4,1,0
96,96,0,4807c00000008080,11,04,4,000000092759742d,1,0
97,97,0,3807e00000008080,01,06,0,00000009275975e2,1,0
98,98,0,2800300000008180,01,06,0,00000009275975ee,1,0
99,99,0,2804300000008280,01,06,0,00000009275975f2,1,0
100,100,0,2800300000008380,01,06,0,00000009275975f4,1,0
101,101,0,2840300000008480,01,06,0,00000009275975f6,1,0
102,102,0,2840300000008580,01,06,0,00000009275975f8,1,0
103,103,0,2847f00000008680,01,06,0,00000009275975fa,1,0
104,104,0,5004000000008080,01,0a,3,00000009275975fc,1,0
105,105,0,5003c00000008180,11,04,4,0000000927597647,1,0
106,106,0,5007c00000008280,11,04,4,000000092759765d,1,0
107,107,0,5003c00000008380,11,04,4,0000000927597673,1,0
108,108,0,5043c00000008480,11,04,4,0000000927597689,1,0
109,109,0,0007e00000008180,11,04,2,000000092759769b,1,0
110,110,0,5043c00000008580,11,04,4,000000092759769f,1,0
111,111,0,0007e00000008280,11,04,2,00000009275976b2,1,0
112,112,0,5047c00000008680,11,04,4,00000009275976b5,1,0
113,113,0,0007e00000008380,11,04,2,00000009275976c8,1,0
114,114,0,0007e00000008480,11,04,2,00000009275976dd,1,0
115,115,0,0007e00000008580,11,04,2,00000009275976f3,1,0
116,116,0,0007e00000008680,11,04,2,000000092759770a,1,0
117,117,0,5807e40000008080,01,08,5,000000092759774d,1,0
118,118,0,1807e00000008080,11,04,2,000000092759779c,1,0
119,119,0,7007e40000000080,01,08,5,0000000927597906,1,0
120,120,0,2004200000000080,01,0a,1,0000000927597949,1,0
121,121,0,2800300000008180,01,06,0,0000000927597ac4,1,0
122,122,0,2804300000008280,01,06,0,0000000927597ac6,1,0
123,123,0,2804300000008380,01,06,0,0000000927597ac8,1,0
124,124,0,2844300000008480,01,06,0,0000000927597aca,1,0
125,125,0,2844300000008580,01,06,0,0000000927597acc,1,0
126,126,0,2843f00000008680,01,06,0,0000000927597ace,1,0
127,127,0,5003c00000008180,11,04,4,0000000927597b1e,1,0
128,128,0,5007c00000008280,11,04,4,0000000927597b34,1,0
129,129,0,5007c00000008380,11,04,4,0000000927597b4a,1,0
130,130,0,5047c00000008480,11,04,4,0000000927597b60,1,0
131,131,0,0007e00000008180,11,04,2,0000000927597b73,1,0
132,132,0,5047c00000008580,11,04,4,0000000927597b76,1,0
133,133,0,0007e00000008280,11,04,2,0000000927597b88,1,0
134,134,0,5043c00000008680,11,04,4,0000000927597b8c,1,0
135,135,0,0007e00000008380,11,04,2,0000000927597b9f,1,0
136,136,0,0007e00000008480,11,04,2,0000000927597bb4,1,0
137,137,0,0007e00000008580,11,04,2,0000000927597bcb,1,0
138,138,0,0007e00000008080,01,06,0,0000000927597bdf,1,0
139,139,0,0007e00000008680,11,04,2,0000000927597be2,1,0
140,140,0,4807c00000008080,11,04,4,0000000927597d2e,1,0
141,141,0,0003e00000000080,01,06,0,0000000927597d97,1,0
142,142,0,4803c00000000080,11,04,4,0000000927597e9b,1,0
