index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
209,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,33096997121,8180,,15,,3,1,,,,2,8180,4,,,,0,,0
210,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,33096997125,8280,,15,,5,1,,,,2,8280,4,,,,0,,0
211,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,33096997129,8380,,15,,7,1,,,,2,8380,4,,,,0,,0
212,0x4803c00000008080,9,ECI_CMD_MRSP_PSHA,33096997324,8080,0,15,0,,,0,,0,4,8080,4,0,0,,0,,0
213,0x7007e40000000080,14,ECI_CMD_MFWD_SINV_H,33096998437,80,,15,,1,1,,1,,5,80,8,0,,0,0,,
214,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,33096998503,80,,0,,1,1,,,,1,80,10,,,,0,,0
215,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,33096998960,80,,15,,,1,,,0,0,80,6,,,0,0,0,
216,0x4803c00000000080,9,ECI_CMD_MRSP_PSHA,33096999228,80,0,15,0,,,0,,0,4,80,4,0,0,,0,,0
217,0x7007e40000000080,14,ECI_CMD_MFWD_SINV_H,33096999702,80,,15,,1,1,,1,,5,80,8,0,,0,0,,
218,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,33096999769,80,,0,,1,1,,,,1,80,10,,,,0,,0
219,0x0007e00000000080,0,ECI_CMD_MREQ_RLDD,33097000206,80,,15,,,1,,,1,0,80,6,,,0,0,0,
220,0x4807c00000000080,9,ECI_CMD_MRSP_PSHA,33097000476,80,0,15,0,,,0,,1,4,80,4,0,0,,0,,0
221,0x7007e40000000080,14,ECI_CMD_MFWD_SINV_H,33097000950,80,,15,,1,1,,1,,5,80,8,0,,0,0,,
222,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,33097001017,80,,0,,1,1,,,,1,80,10,,,,0,,0
223,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,33097001453,80,,15,,,1,,,0,0,80,6,,,0,0,0,
224,0x4803c00000000080,9,ECI_CMD_MRSP_PSHA,33097001715,80,0,15,0,,,0,,0,4,80,4,0,0,,0,,0
