index,raw,opcode,message,timestamp,aliased_addr,dirty,dmask,fillo,hreq_id,ns,nxm,rnode,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
164,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,53330112336,8680,,15,,,1,,,16,0,8680,6,,,0,4,0,
165,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,53330112338,8180,,0,,,1,,,1,0,8180,6,,,0,4,0,
166,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,53330112340,8280,,0,,,1,,,0,0,8280,6,,,0,4,0,
167,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,53330112342,8380,,0,,,1,,,0,0,8380,6,,,0,4,0,
168,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,53330112344,8580,,0,,,1,,,16,0,8580,6,,,0,4,0,
169,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,53330112346,8480,,0,,,1,,,16,0,8480,6,,,0,4,0,
170,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,53330112395,8080,0,0,0,,,0,,0,3,8080,10,0,0,,0,,0
171,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,53330112509,8680,0,15,0,,,0,,16,4,8680,4,0,0,,0,,0
172,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,53330112545,8180,0,15,0,,,0,,1,4,8180,4,0,0,,0,,0
173,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,53330112580,8280,0,15,0,,,0,,0,4,8280,4,0,0,,0,,0
174,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,53330112616,8380,0,15,0,,,0,,0,4,8380,4,0,0,,0,,0
175,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,53330112651,8580,0,15,0,,,0,,16,4,8580,4,0,0,,0,,0
176,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,53330112687,8480,0,15,0,,,0,,16,4,8480,4,0,0,,0,,0
177,0x5807e40000008080,11,ECI_CMD_MFWD_FEVX_EH,53330112933,8080,,15,,1,1,,1,,5,8080,8,0,,0,0,,
178,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,53330113008,8080,,15,,1,1,,,,2,8080,4,,,,0,,0
179,0x580fe40000008180,11,ECI_CMD_MFWD_FEVX_EH,53330113257,8180,,15,,3,1,,1,,5,8180,8,0,,0,0,,
180,0x5817e40000008280,11,ECI_CMD_MFWD_FEVX_EH,53330113259,8280,,15,,5,1,,1,,5,8280,8,0,,0,0,,
181,0x581fe40000008380,11,ECI_CMD_MFWD_FEVX_EH,53330113264,8380,,15,,7,1,,1,,5,8380,8,0,,0,0,,
182,0x5827e40000008480,11,ECI_CMD_MFWD_FEVX_EH,53330113266,8480,,15,,9,1,,1,,5,8480,8,0,,0,0,,
183,0x582fe40000008580,11,ECI_CMD_MFWD_FEVX_EH,53330113270,8580,,15,,11,1,,1,,5,8580,8,0,,0,0,,
184,0x5837e40000008680,11,ECI_CMD_MFWD_FEVX_EH,53330113272,8680,,15,,13,1,,1,,5,8680,8,0,,0,0,,
