Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
831,15,0,000447f7d5d0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e0000000000002cc79ebd91a0631452f4,0000000000000000,0,0,0,"_","_"
832,0,1,000447f8a655,80fe0000000050390087d3e473ff0100000000000000000002ff410003feff31530e00000000000080feff3a200000000060dd8641000331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
833,1,0,000447f8a656,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
834,2,0,000447f8a657,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
835,3,0,000447f8a658,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
836,4,0,000447f8a659,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
837,5,0,000447f8a65a,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
838,6,0,000447f8a65b,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
839,7,0,000447f8a65c,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
840,8,0,000447f8a65d,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
841,9,0,000447f8a65e,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
842,10,0,000447f8a65f,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
843,11,0,000447f8a660,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
844,12,0,000447f8a661,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
845,13,0,000447f8a662,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
846,14,0,000447f8a663,000000000000000000000000000000000000000000000000000000000000001e00000000000056f53d5041000331530c0101d3e473fefffb9002000000000000,0000000000000000,0,0,0,"_","_"
