Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
771,3,0,000eabb20550,6576616d203a756b537748202d203934313432312e33323830333230322d79747269642d3339393434332e3530333230322e43694e4f53203a6e6f6973726556,ffffffffffffffff,0,1,0,"Active","Stream Beat"
772,4,0,000eabb20551,0000000000000000000000000000000030312e35203a6c656e72654b202d20372e3131206e6169626544203a6e6f69747562697274736944202d20736b636972,0000000000000000,0,0,0,"_","_"
773,5,0,000eabb20552,00040e3436646d612d322d38312d302e30312e35203a6c656e72654b202d20372e3131206e6169626544203a6e6f69747562697274736944202d20736b636972,ffffffffffffffff,0,1,0,"Active","Stream Beat"
774,6,0,000eabb20553,30303120414750462034316c6c6f747365757a1b08000500000002010000000000000000000000000000fd0211181000050000000201017ff001050c1014009c,ffffffffffffffff,0,1,0,"Active","Stream Beat"
775,7,0,000eabb20554,000000000000000000000000000000000000000000000000000000009beab9aa00000b00008000010f120009fe0000000001030f120009fe312074726f702047,00000000ffffffff,0,1,1,"Active","Last Stream"
776,0,0,000fa8a73768,000000000000000000000000000000000000000000000000febfa8c091a06314febfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0000000000000000,0,0,0,"_","_"
777,1,1,000fa8a73769,539cc64c000000000000000000000000000000000000c881a8c0c8010331530cfebfa8c091a0631452f40200040600080100060891a0631452f4c8010331530c,0fffffffffffffff,0,1,1,"Active","Last Stream"
778,2,0,000fa8a7376a,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
779,3,0,000fa8a7376b,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
780,4,0,000fa8a7376c,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
781,5,0,000fa8a7376d,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
782,6,0,000fa8a7376e,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
783,7,0,000fa8a7376f,0000000000000000000000000000000000000000000000000000000000000000539cc64c000000000000000000000000000000000000c881a8c0c8010331530c,0000000000000000,0,0,0,"_","_"
784,0,0,000fb3a6fe6b,00000000000000000000000000000000000000000000000011400040ff6d1b010045000891a0631411400040ff6d1b010045000891a0631452f4ffffffffffff,0000000000000000,0,0,0,"_","_"
785,1,1,000fb3a6fe6c,3836312e3239313a5043543d4449000000023246435420c00701fe05fe05ffbfa8c0febfa8c083ca11400040ff6d1b010045000891a0631452f4ffffffffffff,ffffffffffffffff,0,1,0,"Active","Stream Beat"
