index,raw,opcode,message,timestamp,aliased_addr,dmask,hreq_id,ns,rreq_id,src,unaliased_addr,vc,xb10,xb2,xb3,xb4,xb5
17,0x4000200000000000,8,ECI_CMD_MRSP_HAKV,27768149068990,0,0,0,1,,1,0,11,,,0,,0
18,0x0003e00000000000,0,ECI_CMD_MREQ_RLDD,27825047353599,0,15,,1,0,0,0,7,,0,0,0,
19,0x0000200000000000,0,ECI_CMD_MRSP_VICD,27825667199765,0,0,,1,,1,0,11,0,,,,0
