Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_sys/traceOut_src[2:0],i_app/dcs_odd/i_trace_sys/traceOut_ts[63:0],i_app/dcs_odd/i_trace_sys/dump_1,i_app/dcs_odd/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5003c00000008100,11,05,4,0000001036220c83,1,0
18,18,0,5003c00000008200,11,05,4,0000001036220ca6,1,0
19,19,0,5003c00000008300,11,05,4,0000001036220cca,1,0
20,20,0,0007e00000008100,11,05,2,0000001036220cda,1,0
21,21,0,5047c00000008400,11,05,4,0000001036220ced,1,0
22,22,0,0007e00000008200,11,05,2,0000001036220cf6,1,0
23,23,0,5043c00000008500,11,05,4,0000001036220d10,1,0
24,24,0,0007e00000008300,11,05,2,0000001036220d1a,1,0
25,25,0,5047c00000008600,11,05,4,0000001036220d34,1,0
26,26,0,0007e00000008400,11,05,2,0000001036220d3c,1,0
27,27,0,0007e00000008500,11,05,2,0000001036220d5e,1,0
28,28,0,0007e00000008600,11,05,2,0000001036220d84,1,0
29,29,0,0003e00000008000,01,07,0,0000001036220d9e,1,0
30,30,0,4803c00000008000,11,05,4,0000001036220fee,1,0
31,31,0,7003e40000000000,01,09,5,0000001036221105,1,0
32,32,0,2000200000000000,01,0b,1,0000001036221148,1,0
33,33,0,3803e00000008000,01,07,0,000000103622139c,1,0
34,34,0,2800300000008100,01,07,0,00000010362213b3,1,0
35,35,0,2800300000008200,01,07,0,00000010362213b6,1,0
36,36,0,2800300000008300,01,07,0,00000010362213b9,1,0
37,37,0,2844300000008400,01,07,0,00000010362213bc,1,0
38,38,0,2840300000008500,01,07,0,00000010362213bf,1,0
39,39,0,2844300000008600,01,07,0,00000010362213c2,1,0
40,40,0,5000000000008000,01,0b,3,00000010362213ed,1,0
41,41,0,5003c00000008100,11,05,4,000000103622146e,1,0
42,42,0,5003c00000008200,11,05,4,0000001036221491,1,0
43,43,0,5003c00000008300,11,05,4,00000010362214b5,1,0
44,44,0,0007e00000008100,11,05,2,00000010362214be,1,0
45,45,0,5047c00000008400,11,05,4,00000010362214d8,1,0
46,46,0,0007e00000008200,11,05,2,00000010362214de,1,0
47,47,0,5043c00000008500,11,05,4,00000010362214fc,1,0
48,48,0,0007e00000008300,11,05,2,0000001036221504,1,0
49,49,0,5047c00000008600,11,05,4,000000103622151f,1,0
50,50,0,0007e00000008400,11,05,2,0000001036221528,1,0
51,51,0,0007e00000008500,11,05,2,000000103622154c,1,0
52,52,0,0007e00000008600,11,05,2,000000103622156e,1,0
53,53,0,5803e40000008000,01,09,5,000000103622160f,1,0
54,54,0,1803e00000008000,11,05,2,000000103622165e,1,0
55,55,0,0003e00000000000,01,07,0,0000001036221846,1,0
56,56,0,4803c00000000000,11,05,4,0000001036221a1d,1,0
57,57,0,2800300000008100,01,07,0,0000001036221bd0,1,0
58,58,0,2800300000008200,01,07,0,0000001036221bd3,1,0
59,59,0,2804300000008300,01,07,0,0000001036221bd6,1,0
60,60,0,2840300000008400,01,07,0,0000001036221bda,1,0
61,61,0,2840300000008500,01,07,0,0000001036221bdd,1,0
62,62,0,2840300000008600,01,07,0,0000001036221be0,1,0
63,63,0,5003c00000008100,11,05,4,0000001036221c79,1,0
64,64,0,5003c00000008200,11,05,4,0000001036221c9c,1,0
65,65,0,5007c00000008300,11,05,4,0000001036221cc0,1,0
66,66,0,0007e00000008100,11,05,2,0000001036221cc8,1,0
67,67,0,5043c00000008400,11,05,4,0000001036221ce3,1,0
68,68,0,0007e00000008200,11,05,2,0000001036221cea,1,0
69,69,0,5043c00000008500,11,05,4,0000001036221d07,1,0
70,70,0,0007e00000008300,11,05,2,0000001036221d0e,1,0
71,71,0,5043c00000008600,11,05,4,0000001036221d2a,1,0
72,72,0,0007e00000008400,11,05,2,0000001036221d32,1,0
73,73,0,0007e00000008500,11,05,2,0000001036221d56,1,0
74,74,0,0007e00000008600,11,05,2,0000001036221d7a,1,0
75,75,0,0007e00000008000,01,07,0,0000001036221d94,1,0
76,76,0,4807c00000008000,11,05,4,0000001036221fe1,1,0
77,77,0,7003e40000000000,01,09,5,0000001036222145,1,0
78,78,0,2000200000000000,01,0b,1,0000001036222186,1,0
79,79,0,3803e00000008000,01,07,0,00000010362223b8,1,0
80,80,0,2804300000008100,01,07,0,00000010362223ce,1,0
81,81,0,2808300000008200,01,07,0,00000010362223d1,1,0
82,82,0,2800300000008300,01,07,0,00000010362223d4,1,0
83,83,0,2840300000008400,01,07,0,00000010362223d7,1,0
84,84,0,2840300000008500,01,07,0,00000010362223da,1,0
85,85,0,2844300000008600,01,07,0,00000010362223dd,1,0
86,86,0,5000000000008000,01,0b,3,000000103622240a,1,0
87,87,0,5007c00000008100,11,05,4,0000001036222489,1,0
88,88,0,500bc00000008200,11,05,4,00000010362224ad,1,0
89,89,0,5003c00000008300,11,05,4,00000010362224d0,1,0
90,90,0,0007e00000008100,11,05,2,00000010362224d8,1,0
91,91,0,5043c00000008400,11,05,4,00000010362224f3,1,0
92,92,0,0007e00000008200,11,05,2,00000010362224fc,1,0
93,93,0,5043c00000008500,11,05,4,0000001036222517,1,0
94,94,0,0007e00000008300,11,05,2,000000103622251e,1,0
95,95,0,5047c00000008600,11,05,4,000000103622253a,1,0
96,96,0,0007e00000008400,11,05,2,0000001036222542,1,0
97,97,0,0007e00000008500,11,05,2,0000001036222566,1,0
98,98,0,0007e00000008600,11,05,2,000000103622258a,1,0
99,99,0,5803e40000008000,01,09,5,0000001036222626,1,0
100,100,0,1803e00000008000,11,05,2,0000001036222674,1,0
101,101,0,000be00000000000,01,07,0,000000103622295a,1,0
102,102,0,480bc00000000000,11,05,4,0000001036222ae1,1,0
103,103,0,2800300000008100,01,07,0,0000001036222c96,1,0
104,104,0,2800300000008200,01,07,0,0000001036222c9a,1,0
105,105,0,2800300000008300,01,07,0,0000001036222c9d,1,0
106,106,0,2844300000008400,01,07,0,0000001036222ca0,1,0
107,107,0,2844300000008500,01,07,0,0000001036222ca3,1,0
108,108,0,2844300000008600,01,07,0,0000001036222ca6,1,0
109,109,0,5003c00000008100,11,05,4,0000001036222d3f,1,0
110,110,0,5003c00000008200,11,05,4,0000001036222d63,1,0
111,111,0,5003c00000008300,11,05,4,0000001036222d86,1,0
112,112,0,0007e00000008100,11,05,2,0000001036222d8e,1,0
113,113,0,5047c00000008400,11,05,4,0000001036222daa,1,0
114,114,0,0007e00000008200,11,05,2,0000001036222db3,1,0
115,115,0,5047c00000008500,11,05,4,0000001036222dcd,1,0
116,116,0,0007e00000008300,11,05,2,0000001036222dd4,1,0
117,117,0,5047c00000008600,11,05,4,0000001036222df0,1,0
118,118,0,0007e00000008400,11,05,2,0000001036222dfa,1,0
119,119,0,0007e00000008500,11,05,2,0000001036222e1c,1,0
120,120,0,0007e00000008600,11,05,2,0000001036222e40,1,0
121,121,0,0003e00000008000,01,07,0,0000001036222e64,1,0
122,122,0,4803c00000008000,11,05,4,00000010362230b4,1,0
123,123,0,7003e40000000000,01,09,5,0000001036223218,1,0
124,124,0,2000200000000000,01,0b,1,0000001036223259,1,0
125,125,0,3803e00000008000,01,07,0,000000103622348a,1,0
126,126,0,2804300000008100,01,07,0,00000010362234a6,1,0
127,127,0,2804300000008200,01,07,0,00000010362234a8,1,0
128,128,0,2800300000008300,01,07,0,00000010362234aa,1,0
129,129,0,2844300000008400,01,07,0,00000010362234ac,1,0
130,130,0,2840300000008500,01,07,0,00000010362234ae,1,0
131,131,0,2840300000008600,01,07,0,00000010362234b1,1,0
132,132,0,5000000000008000,01,0b,3,00000010362234dc,1,0
133,133,0,5007c00000008100,11,05,4,0000001036223561,1,0
134,134,0,5007c00000008200,11,05,4,0000001036223584,1,0
135,135,0,5003c00000008300,11,05,4,00000010362235a8,1,0
136,136,0,0007e00000008100,11,05,2,00000010362235ae,1,0
137,137,0,5047c00000008400,11,05,4,00000010362235cb,1,0
138,138,0,0007e00000008200,11,05,2,00000010362235d4,1,0
139,139,0,5043c00000008500,11,05,4,00000010362235ef,1,0
140,140,0,0007e00000008300,11,05,2,00000010362235f8,1,0
141,141,0,5043c00000008600,11,05,4,0000001036223612,1,0
142,142,0,0007e00000008400,11,05,2,000000103622361a,1,0
