Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
326,326,0,5004000000008000,01,0b,3,0000000a0f98d756,1,0
327,327,0,5007c00000008100,11,05,4,0000000a0f98d7a1,1,0
328,328,0,5007c00000008200,11,05,4,0000000a0f98d7b7,1,0
329,329,0,5003c00000008300,11,05,4,0000000a0f98d7cd,1,0
330,330,0,5043c00000008400,11,05,4,0000000a0f98d7e3,1,0
331,331,0,0007e00000008100,11,05,2,0000000a0f98d7f5,1,0
332,332,0,5043c00000008500,11,05,4,0000000a0f98d7f9,1,0
333,333,0,0007e00000008200,11,05,2,0000000a0f98d80a,1,0
334,334,0,5043c00000008600,11,05,4,0000000a0f98d80f,1,0
335,335,0,0007e00000008300,11,05,2,0000000a0f98d820,1,0
336,336,0,0007e00000008400,11,05,2,0000000a0f98d835,1,0
337,337,0,0007e00000008500,11,05,2,0000000a0f98d84d,1,0
338,338,0,0007e00000008600,11,05,2,0000000a0f98d862,1,0
339,339,0,5803e40000008000,01,09,5,0000000a0f98d8a4,1,0
340,340,0,1803e00000008000,11,05,2,0000000a0f98d8f3,1,0
341,341,0,2804300000008100,01,07,0,0000000a0f98db74,1,0
342,342,0,2804300000008200,01,07,0,0000000a0f98db76,1,0
343,343,0,2800300000008300,01,07,0,0000000a0f98db78,1,0
344,344,0,2840300000008400,01,07,0,0000000a0f98db7a,1,0
345,345,0,2840300000008500,01,07,0,0000000a0f98db7c,1,0
346,346,0,2840300000008600,01,07,0,0000000a0f98db7e,1,0
347,347,0,5007c00000008100,11,05,4,0000000a0f98dbc0,1,0
348,348,0,5007c00000008200,11,05,4,0000000a0f98dbd6,1,0
349,349,0,5003c00000008300,11,05,4,0000000a0f98dbec,1,0
350,350,0,5043c00000008400,11,05,4,0000000a0f98dc02,1,0
351,351,0,0007e00000008100,11,05,2,0000000a0f98dc14,1,0
352,352,0,5043c00000008500,11,05,4,0000000a0f98dc18,1,0
353,353,0,0007e00000008200,11,05,2,0000000a0f98dc29,1,0
354,354,0,5043c00000008600,11,05,4,0000000a0f98dc2e,1,0
355,355,0,0007e00000008300,11,05,2,0000000a0f98dc3f,1,0
356,356,0,0007e00000008400,11,05,2,0000000a0f98dc55,1,0
357,357,0,0007e00000008500,11,05,2,0000000a0f98dc6b,1,0
358,358,0,0007e00000008600,11,05,2,0000000a0f98dc81,1,0
359,359,0,0007e00000008000,01,07,0,0000000a0f98dc8e,1,0
360,360,0,4807c00000008000,11,05,4,0000000a0f98dde0,1,0
361,361,0,0003e00000000000,01,07,0,0000000a0f98de4b,1,0
362,362,0,4803c00000000000,11,05,4,0000000a0f98df22,1,0
363,363,0,3803e00000008000,01,07,0,0000000a0f98e041,1,0
364,364,0,2800300000008100,01,07,0,0000000a0f98e04e,1,0
365,365,0,2800300000008200,01,07,0,0000000a0f98e050,1,0
366,366,0,2800300000008300,01,07,0,0000000a0f98e052,1,0
367,367,0,2844300000008400,01,07,0,0000000a0f98e054,1,0
368,368,0,2844300000008500,01,07,0,0000000a0f98e056,1,0
369,369,0,2840300000008600,01,07,0,0000000a0f98e058,1,0
370,370,0,5000000000008000,01,0b,3,0000000a0f98e05a,1,0
371,371,0,5003c00000008100,11,05,4,0000000a0f98e0a5,1,0
372,372,0,5003c00000008200,11,05,4,0000000a0f98e0bb,1,0
373,373,0,5003c00000008300,11,05,4,0000000a0f98e0d1,1,0
374,374,0,5047c00000008400,11,05,4,0000000a0f98e0e7,1,0
375,375,0,0007e00000008100,11,05,2,0000000a0f98e0f7,1,0
376,376,0,5047c00000008500,11,05,4,0000000a0f98e0fd,1,0
377,377,0,0007e00000008200,11,05,2,0000000a0f98e10e,1,0
378,378,0,5043c00000008600,11,05,4,0000000a0f98e113,1,0
379,379,0,0007e00000008300,11,05,2,0000000a0f98e125,1,0
380,380,0,0007e00000008400,11,05,2,0000000a0f98e13a,1,0
381,381,0,0007e00000008500,11,05,2,0000000a0f98e14f,1,0
382,382,0,0007e00000008600,11,05,2,0000000a0f98e165,1,0
383,383,0,5803e40000008000,01,09,5,0000000a0f98e1ab,1,0
384,384,0,1803e00000008000,11,05,2,0000000a0f98e1fa,1,0
385,385,0,7003e40000000000,01,09,5,0000000a0f98e39b,1,0
386,386,0,2000200000000000,01,0b,1,0000000a0f98e3de,1,0
387,387,0,2800300000008100,01,07,0,0000000a0f98e55e,1,0
388,388,0,2800300000008200,01,07,0,0000000a0f98e560,1,0
389,389,0,2800300000008300,01,07,0,0000000a0f98e562,1,0
390,390,0,2848300000008400,01,07,0,0000000a0f98e564,1,0
391,391,0,2840300000008500,01,07,0,0000000a0f98e566,1,0
392,392,0,2840300000008600,01,07,0,0000000a0f98e568,1,0
393,393,0,5003c00000008100,11,05,4,0000000a0f98e5aa,1,0
394,394,0,5003c00000008200,11,05,4,0000000a0f98e5c0,1,0
395,395,0,5003c00000008300,11,05,4,0000000a0f98e5d6,1,0
396,396,0,504bc00000008400,11,05,4,0000000a0f98e5ec,1,0
397,397,0,0007e00000008100,11,05,2,0000000a0f98e5fd,1,0
398,398,0,5043c00000008500,11,05,4,0000000a0f98e602,1,0
399,399,0,0007e00000008200,11,05,2,0000000a0f98e612,1,0
400,400,0,5043c00000008600,11,05,4,0000000a0f98e618,1,0
401,401,0,0007e00000008300,11,05,2,0000000a0f98e628,1,0
402,402,0,0007e00000008400,11,05,2,0000000a0f98e640,1,0
403,403,0,0007e00000008500,11,05,2,0000000a0f98e655,1,0
404,404,0,0007e00000008600,11,05,2,0000000a0f98e66b,1,0
