Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5003c00000008280,11,04,4,0000000a0f993318,1,0
18,18,0,5003c00000008380,11,04,4,0000000a0f99332e,1,0
19,19,0,5043c00000008480,11,04,4,0000000a0f993344,1,0
20,20,0,0007e00000008180,11,04,2,0000000a0f993353,1,0
21,21,0,5043c00000008580,11,04,4,0000000a0f99335a,1,0
22,22,0,0007e00000008280,11,04,2,0000000a0f99336a,1,0
23,23,0,5047c00000008680,11,04,4,0000000a0f993370,1,0
24,24,0,0007e00000008380,11,04,2,0000000a0f99337f,1,0
25,25,0,0007e00000008480,11,04,2,0000000a0f993396,1,0
26,26,0,0007e00000008580,11,04,2,0000000a0f9933ac,1,0
27,27,0,0007e00000008680,11,04,2,0000000a0f9933c2,1,0
28,28,0,5807e40000008080,01,08,5,0000000a0f993404,1,0
29,29,0,1807e00000008080,11,04,2,0000000a0f993451,1,0
30,30,0,2800300000008180,01,06,0,0000000a0f99371e,1,0
31,31,0,2800300000008280,01,06,0,0000000a0f993720,1,0
32,32,0,2800300000008380,01,06,0,0000000a0f993722,1,0
33,33,0,2844300000008480,01,06,0,0000000a0f993724,1,0
34,34,0,2840300000008580,01,06,0,0000000a0f993726,1,0
35,35,0,2843f00000008680,01,06,0,0000000a0f993728,1,0
36,36,0,5003c00000008180,11,04,4,0000000a0f99376e,1,0
37,37,0,5003c00000008280,11,04,4,0000000a0f993784,1,0
38,38,0,5003c00000008380,11,04,4,0000000a0f99379a,1,0
39,39,0,5047c00000008480,11,04,4,0000000a0f9937b0,1,0
40,40,0,0007e00000008180,11,04,2,0000000a0f9937c0,1,0
41,41,0,5043c00000008580,11,04,4,0000000a0f9937c6,1,0
42,42,0,0007e00000008280,11,04,2,0000000a0f9937d6,1,0
43,43,0,5043c00000008680,11,04,4,0000000a0f9937dc,1,0
44,44,0,0007e00000008380,11,04,2,0000000a0f9937eb,1,0
45,45,0,0007e00000008480,11,04,2,0000000a0f993801,1,0
46,46,0,0007e00000008580,11,04,2,0000000a0f993817,1,0
47,47,0,0007e00000008680,11,04,2,0000000a0f99382f,1,0
48,48,0,0007e00000008080,01,06,0,0000000a0f993831,1,0
49,49,0,4807c00000008080,11,04,4,0000000a0f993988,1,0
50,50,0,3807e00000008080,01,06,0,0000000a0f993b38,1,0
51,51,0,2800300000008180,01,06,0,0000000a0f993b48,1,0
52,52,0,2800300000008280,01,06,0,0000000a0f993b4a,1,0
53,53,0,2800300000008380,01,06,0,0000000a0f993b4c,1,0
54,54,0,2840300000008480,01,06,0,0000000a0f993b4e,1,0
55,55,0,2844300000008580,01,06,0,0000000a0f993b50,1,0
56,56,0,5004000000008080,01,0a,3,0000000a0f993b52,1,0
57,57,0,2847f00000008680,01,06,0,0000000a0f993b54,1,0
58,58,0,5003c00000008180,11,04,4,0000000a0f993ba3,1,0
59,59,0,5003c00000008280,11,04,4,0000000a0f993bb9,1,0
60,60,0,5003c00000008380,11,04,4,0000000a0f993bcf,1,0
61,61,0,5043c00000008480,11,04,4,0000000a0f993be5,1,0
62,62,0,0007e00000008180,11,04,2,0000000a0f993bf5,1,0
63,63,0,5047c00000008580,11,04,4,0000000a0f993bfb,1,0
64,64,0,0007e00000008280,11,04,2,0000000a0f993c09,1,0
65,65,0,5047c00000008680,11,04,4,0000000a0f993c11,1,0
66,66,0,0007e00000008380,11,04,2,0000000a0f993c20,1,0
67,67,0,0007e00000008480,11,04,2,0000000a0f993c37,1,0
68,68,0,0007e00000008580,11,04,2,0000000a0f993c4d,1,0
69,69,0,0007e00000008680,11,04,2,0000000a0f993c63,1,0
70,70,0,3803e00000008080,01,06,0,0000000a0f98d313,1,0
71,71,0,2800300000008180,01,06,0,0000000a0f98d320,1,0
72,72,0,2800300000008280,01,06,0,0000000a0f98d322,1,0
73,73,0,2800300000008380,01,06,0,0000000a0f98d324,1,0
74,74,0,2844300000008480,01,06,0,0000000a0f98d326,1,0
75,75,0,2844300000008580,01,06,0,0000000a0f98d328,1,0
76,76,0,2843f00000008680,01,06,0,0000000a0f98d32a,1,0
77,77,0,5000000000008080,01,0a,3,0000000a0f98d32c,1,0
78,78,0,5003c00000008180,11,04,4,0000000a0f98d37b,1,0
79,79,0,5003c00000008280,11,04,4,0000000a0f98d391,1,0
80,80,0,5003c00000008380,11,04,4,0000000a0f98d3a7,1,0
81,81,0,5047c00000008480,11,04,4,0000000a0f98d3bd,1,0
82,82,0,0007e00000008180,11,04,2,0000000a0f98d3cd,1,0
83,83,0,5047c00000008580,11,04,4,0000000a0f98d3d3,1,0
84,84,0,0007e00000008280,11,04,2,0000000a0f98d3e1,1,0
85,85,0,5043c00000008680,11,04,4,0000000a0f98d3e9,1,0
86,86,0,0007e00000008380,11,04,2,0000000a0f98d3f8,1,0
87,87,0,0007e00000008480,11,04,2,0000000a0f98d40f,1,0
88,88,0,0007e00000008580,11,04,2,0000000a0f98d425,1,0
89,89,0,0007e00000008680,11,04,2,0000000a0f98d43b,1,0
90,90,0,5807e40000008080,01,08,5,0000000a0f98d47d,1,0
91,91,0,1807e00000008080,11,04,2,0000000a0f98d4ca,1,0
92,92,0,2804300000008180,01,06,0,0000000a0f98d74a,1,0
93,93,0,2804300000008280,01,06,0,0000000a0f98d74c,1,0
94,94,0,2800300000008380,01,06,0,0000000a0f98d74e,1,0
95,95,0,2840300000008480,01,06,0,0000000a0f98d750,1,0
96,96,0,2840300000008580,01,06,0,0000000a0f98d752,1,0
97,97,0,2843f00000008680,01,06,0,0000000a0f98d754,1,0
98,98,0,5007c00000008180,11,04,4,0000000a0f98d79a,1,0
99,99,0,5007c00000008280,11,04,4,0000000a0f98d7b0,1,0
100,100,0,5003c00000008380,11,04,4,0000000a0f98d7c6,1,0
101,101,0,5043c00000008480,11,04,4,0000000a0f98d7dc,1,0
102,102,0,0007e00000008180,11,04,2,0000000a0f98d7ec,1,0
103,103,0,5043c00000008580,11,04,4,0000000a0f98d7f2,1,0
104,104,0,0007e00000008280,11,04,2,0000000a0f98d801,1,0
105,105,0,5043c00000008680,11,04,4,0000000a0f98d808,1,0
106,106,0,0007e00000008380,11,04,2,0000000a0f98d816,1,0
107,107,0,0007e00000008480,11,04,2,0000000a0f98d82e,1,0
108,108,0,0007e00000008580,11,04,2,0000000a0f98d844,1,0
109,109,0,0007e00000008680,11,04,2,0000000a0f98d85b,1,0
110,110,0,0007e00000008080,01,06,0,0000000a0f98d85d,1,0
111,111,0,4807c00000008080,11,04,4,0000000a0f98d9b5,1,0
112,112,0,3803e00000008080,01,06,0,0000000a0f98db66,1,0
113,113,0,2800300000008180,01,06,0,0000000a0f98db74,1,0
114,114,0,2800300000008280,01,06,0,0000000a0f98db76,1,0
115,115,0,2800300000008380,01,06,0,0000000a0f98db78,1,0
116,116,0,2840300000008480,01,06,0,0000000a0f98db7a,1,0
117,117,0,2840300000008580,01,06,0,0000000a0f98db7c,1,0
118,118,0,2843f00000008680,01,06,0,0000000a0f98db7e,1,0
119,119,0,5000000000008080,01,0a,3,0000000a0f98db80,1,0
120,120,0,5003c00000008180,11,04,4,0000000a0f98dbcf,1,0
121,121,0,5003c00000008280,11,04,4,0000000a0f98dbe5,1,0
122,122,0,5003c00000008380,11,04,4,0000000a0f98dbfb,1,0
123,123,0,5043c00000008480,11,04,4,0000000a0f98dc11,1,0
124,124,0,0007e00000008180,11,04,2,0000000a0f98dc20,1,0
125,125,0,5043c00000008580,11,04,4,0000000a0f98dc27,1,0
126,126,0,0007e00000008280,11,04,2,0000000a0f98dc35,1,0
127,127,0,5043c00000008680,11,04,4,0000000a0f98dc3d,1,0
128,128,0,0007e00000008380,11,04,2,0000000a0f98dc4d,1,0
129,129,0,0007e00000008480,11,04,2,0000000a0f98dc63,1,0
130,130,0,0007e00000008580,11,04,2,0000000a0f98dc78,1,0
131,131,0,0007e00000008680,11,04,2,0000000a0f98dc8f,1,0
132,132,0,5807e40000008080,01,08,5,0000000a0f98dcd5,1,0
