Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
302,302,0,5003c00000008180,11,04,4,0000001036220c98,1,0
303,303,0,5003c00000008280,11,04,4,0000001036220cbb,1,0
304,304,0,5007c00000008380,11,04,4,0000001036220cdf,1,0
305,305,0,0007e00000008180,11,04,2,0000001036220ce8,1,0
306,306,0,5047c00000008480,11,04,4,0000001036220d02,1,0
307,307,0,0007e00000008280,11,04,2,0000001036220d08,1,0
308,308,0,5047c00000008580,11,04,4,0000001036220d26,1,0
309,309,0,0007e00000008380,11,04,2,0000001036220d2e,1,0
310,310,0,5043c00000008680,11,04,4,0000001036220d49,1,0
311,311,0,0007e00000008480,11,04,2,0000001036220d52,1,0
312,312,0,0007e00000008580,11,04,2,0000001036220d76,1,0
313,313,0,0007e00000008680,11,04,2,0000001036220d9a,1,0
314,314,0,5807e40000008080,01,08,5,0000001036220e38,1,0
315,315,0,1807e00000008080,11,04,2,0000001036220e85,1,0
316,316,0,0003e00000000080,01,06,0,0000001036221069,1,0
317,317,0,4803c00000000080,11,04,4,00000010362211fb,1,0
318,318,0,2800300000008180,01,06,0,00000010362213b3,1,0
319,319,0,2800300000008280,01,06,0,00000010362213b6,1,0
320,320,0,2800300000008380,01,06,0,00000010362213b9,1,0
321,321,0,2844300000008480,01,06,0,00000010362213bc,1,0
322,322,0,2844300000008580,01,06,0,00000010362213bf,1,0
323,323,0,2847f00000008680,01,06,0,00000010362213c2,1,0
324,324,0,5003c00000008180,11,04,4,000000103622145f,1,0
325,325,0,5003c00000008280,11,04,4,0000001036221483,1,0
326,326,0,5003c00000008380,11,04,4,00000010362214a6,1,0
327,327,0,0007e00000008180,11,04,2,00000010362214ae,1,0
328,328,0,5047c00000008480,11,04,4,00000010362214ca,1,0
329,329,0,0007e00000008280,11,04,2,00000010362214d2,1,0
330,330,0,5047c00000008580,11,04,4,00000010362214ed,1,0
331,331,0,0007e00000008380,11,04,2,00000010362214f6,1,0
332,332,0,5047c00000008680,11,04,4,0000001036221511,1,0
333,333,0,0007e00000008480,11,04,2,000000103622151a,1,0
334,334,0,0007e00000008580,11,04,2,000000103622153a,1,0
335,335,0,0007e00000008680,11,04,2,0000001036221562,1,0
336,336,0,0003e00000008080,01,06,0,0000001036221573,1,0
337,337,0,4803c00000008080,11,04,4,00000010362217ca,1,0
338,338,0,7007e40000000080,01,08,5,000000103622192c,1,0
339,339,0,2004200000000080,01,0a,1,0000001036221970,1,0
340,340,0,3803e00000008080,01,06,0,0000001036221bbc,1,0
341,341,0,2800300000008180,01,06,0,0000001036221bd0,1,0
342,342,0,2800300000008280,01,06,0,0000001036221bd3,1,0
343,343,0,2800300000008380,01,06,0,0000001036221bd6,1,0
344,344,0,2844300000008480,01,06,0,0000001036221bda,1,0
345,345,0,2844300000008580,01,06,0,0000001036221bdd,1,0
346,346,0,2843f00000008680,01,06,0,0000001036221be0,1,0
347,347,0,5000000000008080,01,0a,3,0000001036221c0a,1,0
348,348,0,5003c00000008180,11,04,4,0000001036221c8e,1,0
349,349,0,5003c00000008280,11,04,4,0000001036221cb2,1,0
350,350,0,5003c00000008380,11,04,4,0000001036221cd5,1,0
351,351,0,0007e00000008180,11,04,2,0000001036221cde,1,0
352,352,0,5047c00000008480,11,04,4,0000001036221cf9,1,0
353,353,0,0007e00000008280,11,04,2,0000001036221d02,1,0
354,354,0,5047c00000008580,11,04,4,0000001036221d1c,1,0
355,355,0,0007e00000008380,11,04,2,0000001036221d24,1,0
356,356,0,5043c00000008680,11,04,4,0000001036221d3f,1,0
357,357,0,0007e00000008480,11,04,2,0000001036221d48,1,0
358,358,0,0007e00000008580,11,04,2,0000001036221d6a,1,0
359,359,0,0007e00000008680,11,04,2,0000001036221d90,1,0
360,360,0,5807e40000008080,01,08,5,0000001036221e2e,1,0
361,361,0,1807e00000008080,11,04,2,0000001036221e78,1,0
362,362,0,0003e00000000080,01,06,0,000000103622205c,1,0
