Sample in Buffer,Sample in Window,TRIGGER,i_eci_platform/i_eci_transport/link1_eci[link_up],i_eci_platform/i_eci_transport/link1_eci[link_state][5:0],i_eci_platform/i_eci_transport/link1_eci[link_state_change],i_eci_platform/i_eci_transport/link1_eci[rx_block_valid],i_eci_platform/i_eci_transport/link1_eci[rx_has_data_payload],i_eci_platform/i_eci_transport/link1_eci[rx_has_data_payload_filtered],i_eci_platform/i_eci_transport/link1_eci[rx_block_header][39:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word1][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word2][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word3][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word4][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word5][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word6][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_word7][63:0],i_eci_platform/i_eci_transport/link1_eci[rx_block_crc_match],i_eci_platform/i_eci_transport/link1_eci[tx_block_ready],i_eci_platform/i_eci_transport/link1_eci[tx_has_data_payload],i_eci_platform/i_eci_transport/link1_eci[tx_has_data_payload_filtered],i_eci_platform/i_eci_transport/link1_eci[tx_block_header][39:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word1][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word2][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word3][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word4][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word5][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word6][63:0],i_eci_platform/i_eci_transport/link1_eci[tx_block_word7][63:0],i_eci_platform/i_eci_transport/link2_eci[link_up],i_eci_platform/i_eci_transport/link2_eci[link_state][5:0],i_eci_platform/i_eci_transport/link2_eci[link_state_change],i_eci_platform/i_eci_transport/link2_eci[rx_block_valid],i_eci_platform/i_eci_transport/link2_eci[rx_has_data_payload],i_eci_platform/i_eci_transport/link2_eci[rx_has_data_payload_filtered],i_eci_platform/i_eci_transport/link2_eci[rx_block_header][39:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word1][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word2][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word3][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word4][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word5][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word6][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_word7][63:0],i_eci_platform/i_eci_transport/link2_eci[rx_block_crc_match],i_eci_platform/i_eci_transport/link2_eci[tx_block_ready],i_eci_platform/i_eci_transport/link2_eci[tx_has_data_payload],i_eci_platform/i_eci_transport/link2_eci[tx_has_data_payload_filtered],i_eci_platform/i_eci_transport/link2_eci[tx_block_header][39:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word1][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word2][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word3][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word4][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word5][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word6][63:0],i_eci_platform/i_eci_transport/link2_eci[tx_block_word7][63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
1,1,0,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
2,2,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
3,3,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
4,4,1,1,"RUN",0,1,1,1,800ffffdff,0000000000000000,0000000000000000,0000000000000000,0000000000000000,80055e6807f80000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
5,5,0,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
6,6,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
7,7,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
8,8,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
9,9,0,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
10,10,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
11,11,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
12,12,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
13,13,0,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
14,14,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
15,15,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
16,0,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
17,1,0,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,0,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
18,2,0,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000024000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,1,"RUN",0,0,0,0,0000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0,1,0,0,e000023000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
