index,dcs_trace.event.req,dcs_trace.event.cli,dcs_trace.event.action,dcs_trace.event.state,timestamp
17,R12,0000000000,RDD,s1__2pRA2,259936062492.455017
18,RDDA,0000000000,SEND_RA2,s1__2,259936062492.720001
19,R12,0000000100,RDD,s1__2pRA2,259936062493.994995
20,RDDA,0000000100,SEND_RA2,s1__2,259936062494.255005
