index,raw,opcode,message,timestamp,aliased_addr,cycles,dmask,hreq_id,ns,rreq_id,src,unaliased_addr,vc,xb2,xb3,xb4,xb5
17,0x3004200000008080,6,ECI_CMD_MRSP_HAKI,259650980406.925018,8080,51930196081385,0,1,1,,1,8080,10,,0,,0
18,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,259936062501.260010,80,51987212500252,15,,1,0,0,80,6,0,0,0,
