index,raw,opcode,message,timestamp,aliased_addr,cycles,dmask,hreq_id,ns,rreq_id,src,unaliased_addr,vc,xb2,xb3,xb4,xb5
17,0x3004200000008080,6,ECI_CMD_MRSP_HAKI,418382927413.419983,8080,83676585482684,0,1,1,,1,8080,10,,0,,0
18,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,418842288209.955017,80,83768457641991,15,,1,0,0,80,6,0,0,0,
