Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
348,348,0,2844300000008480,01,06,0,0000000e4aec1f10,1,0
349,349,0,2840300000008580,01,06,0,0000000e4aec1f13,1,0
350,350,0,5007c00000008180,11,04,4,0000000e4aec1fc8,1,0
351,351,0,5007c00000008280,11,04,4,0000000e4aec1fec,1,0
352,352,0,5003c00000008380,11,04,4,0000000e4aec200f,1,0
353,353,0,0007e00000008180,11,04,2,0000000e4aec2018,1,0
354,354,0,5047c00000008480,11,04,4,0000000e4aec2032,1,0
355,355,0,0007e00000008280,11,04,2,0000000e4aec203a,1,0
356,356,0,5043c00000008580,11,04,4,0000000e4aec2056,1,0
357,357,0,0007e00000008380,11,04,2,0000000e4aec205f,1,0
358,358,0,0007e00000008480,11,04,2,0000000e4aec2082,1,0
359,359,0,0007e00000008580,11,04,2,0000000e4aec20a6,1,0
360,360,0,0003e00000008080,01,06,0,0000000e4aec20b2,1,0
361,361,0,4803c00000008080,11,04,4,0000000e4aec2304,1,0
362,362,0,0007e00000000080,01,06,0,0000000e4aec9b89,1,0
363,363,0,4807c00000000080,11,04,4,0000000e4aec9d18,1,0
364,364,0,0003ec0000000180,01,06,0,0000000e4aec9ec4,1,0
365,365,0,4803c00000000180,11,04,4,0000000e4aec9f71,1,0
366,366,0,0007ec0000000280,01,06,0,0000000e4aeca0cf,1,0
367,367,0,4807c00000000280,11,04,4,0000000e4aeca17d,1,0
368,368,0,0003ec0000000380,01,06,0,0000000e4aeca2d5,1,0
369,369,0,4803c00000000380,11,04,4,0000000e4aeca382,1,0
370,370,0,0043ec0000000480,01,06,0,0000000e4aeca4da,1,0
371,371,0,4843c00000000480,11,04,4,0000000e4aeca587,1,0
372,372,0,0047ec0000000580,01,06,0,0000000e4aeca6e0,1,0
373,373,0,4847c00000000580,11,04,4,0000000e4aeca78c,1,0
374,374,0,700fe40000000180,01,08,5,0000000e4aecad3d,1,0
375,375,0,7017e40000000280,01,08,5,0000000e4aecad3f,1,0
376,376,0,701fe40000000380,01,08,5,0000000e4aecad44,1,0
377,377,0,7027e40000000480,01,08,5,0000000e4aecad46,1,0
378,378,0,702fe40000000580,01,08,5,0000000e4aecad4a,1,0
379,379,0,200c200000000180,01,0a,1,0000000e4aecad7f,1,0
