index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
122,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,58076226015,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
123,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,58076226019,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
124,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,58076226023,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
125,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,58076226027,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
126,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,58076226031,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
127,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,58076226035,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
128,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,58076226290,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
129,0x2004200000000080,4,ECI_CMD_MRSP_HAKD,58076226573,0x0000000080,,,,0,,1,1,,,1,0x0000000080,10,,,,0,,0
130,0x3807e00000008080,7,ECI_CMD_MREQ_RC2D_S,58076226914,0x0000008080,,,,15,,,1,,1,0,0x0000008080,6,,,0,0,0,
131,0x2847f00000008680,5,ECI_CMD_MREQ_RLDX,58076226926,0x0000008680,,,,15,,,1,,17,0,0x0000008680,6,,,0,4,0,
132,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,58076226928,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
133,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,58076226930,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
134,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,58076226932,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
135,0x2844300000008480,5,ECI_CMD_MREQ_RLDX,58076226934,0x0000008480,,,,0,,,1,,17,0,0x0000008480,6,,,0,4,0,
136,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,58076226936,0x0000008580,,,,0,,,1,,17,0,0x0000008580,6,,,0,4,0,
137,0x5004000000008080,10,ECI_CMD_MRSP_PEMD,58076226938,,257,257,0,0,0,,,0,1,3,,10,0,0,,0,,0
138,0x5047c00000008680,10,ECI_CMD_MRSP_PEMD,58076227015,,269,269,0,15,0,,,0,17,4,,4,0,0,,0,,0
139,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,58076227037,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
140,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,58076227059,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
141,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,58076227081,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
142,0x5047c00000008480,10,ECI_CMD_MRSP_PEMD,58076227103,,265,265,0,15,0,,,0,17,4,,4,0,0,,0,,0
143,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,58076227125,,267,267,0,15,0,,,0,17,4,,4,0,0,,0,,0
144,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,58076227347,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
145,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,58076227547,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
146,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,58076227551,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
147,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,58076227555,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
148,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,58076227559,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
149,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,58076227563,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
150,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,58076227567,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
151,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,58076228241,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
152,0x2800300000008180,5,ECI_CMD_MREQ_RLDX,58076228243,0x0000008180,,,,0,,,1,,0,0,0x0000008180,6,,,0,4,0,
153,0x2804300000008280,5,ECI_CMD_MREQ_RLDX,58076228245,0x0000008280,,,,0,,,1,,1,0,0x0000008280,6,,,0,4,0,
154,0x2800300000008380,5,ECI_CMD_MREQ_RLDX,58076228247,0x0000008380,,,,0,,,1,,0,0,0x0000008380,6,,,0,4,0,
155,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,58076228249,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
156,0x2840300000008580,5,ECI_CMD_MREQ_RLDX,58076228251,0x0000008580,,,,0,,,1,,16,0,0x0000008580,6,,,0,4,0,
157,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,58076228319,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
158,0x5003c00000008180,10,ECI_CMD_MRSP_PEMD,58076228341,,259,259,0,15,0,,,0,0,4,,4,0,0,,0,,0
159,0x5007c00000008280,10,ECI_CMD_MRSP_PEMD,58076228363,,261,261,0,15,0,,,0,1,4,,4,0,0,,0,,0
160,0x5003c00000008380,10,ECI_CMD_MRSP_PEMD,58076228385,,263,263,0,15,0,,,0,0,4,,4,0,0,,0,,0
161,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,58076228407,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
162,0x5043c00000008580,10,ECI_CMD_MRSP_PEMD,58076228429,,267,267,0,15,0,,,0,16,4,,4,0,0,,0,,0
163,0x0003e00000008080,0,ECI_CMD_MREQ_RLDD,58076228509,0x0000008080,,,,15,,,1,,0,0,0x0000008080,6,,,0,0,0,
