0,1323906154,0,1,48,8,794388023660,794388036160,794388036540,794388039100,794388039310,794388039560,794388039850,794388040650,794388040700,794388053940,50,10
0,1323906154,0,1,48,8,809402649720,809402696170,809402696300,809402697580,809402697710,809402697820,809402697970,809402698310,809402698370,809402701140,50,10
1,1340683370,0,1,48,8,809402796990,809402836850,809402836920,809402837670,809402837790,809402837910,809402838050,809402838370,809402838430,809402841100,50,10
2,1357460586,0,1,48,8,809402918920,809402944590,809402944660,809402945310,809402945400,809402945520,809402945660,809402945980,809402946040,809402948720,50,10
3,1374237802,0,1,48,8,809403025920,809403043110,809403043180,809403043860,809403043940,809403044070,809403044200,809403044520,809403044580,809403047230,50,10
4,1391015018,0,1,48,8,809403124420,809403142790,809403142860,809403143520,809403143600,809403143730,809403143870,809403144180,809403144240,809403146920,50,10
5,1407792234,0,1,48,8,809403223910,809403242580,809403242650,809403243330,809403243410,809403243540,809403243670,809403243990,809403244050,809403246700,50,10
6,1424569450,0,1,48,8,809403323850,809403342860,809403342940,809403343590,809403343680,809403343800,809403343900,809403344220,809403344270,809403346930,50,10
7,1441346666,0,1,48,8,809403423780,809403442430,809403442500,809403443180,809403443260,809403443380,809403443480,809403443810,809403443860,809403446500,50,10
8,1458123882,0,1,48,8,809403523460,809403542910,809403542990,809403543640,809403543730,809403543850,809403543950,809403544270,809403544320,809403547000,50,10
9,1474901098,0,1,48,8,809403628230,809403640210,809403640290,809403640940,809403641030,809403641150,809403641250,809403641570,809403641620,809403644280,50,10
10,1491678314,0,1,48,8,809403772500,809403804180,809403804250,809403804910,809403804990,809403805110,809403805210,809403805540,809403805590,809403808260,50,10
11,1508455530,0,1,48,8,809403885360,809403906690,809403906760,809403907410,809403907500,809403907620,809403907720,809403908040,809403908100,809403910730,50,10
12,1525232746,0,1,48,8,809403988590,809404003750,809404003820,809404004470,809404004560,809404004680,809404004780,809404005100,809404005160,809404007840,50,10
13,1542009962,0,1,48,8,809404084730,809404101020,809404101100,809404101750,809404101840,809404101960,809404102060,809404102380,809404102430,809404105080,50,10
14,1558787178,0,1,48,8,809404181990,809404199680,809404199750,809404200400,809404200490,809404200610,809404200710,809404201030,809404201090,809404203760,50,10
15,1575564394,0,1,48,8,809404280660,809404297450,809404297520,809404298150,809404298240,809404298360,809404298460,809404298780,809404298840,809404301470,50,10
16,1592341610,0,1,48,8,809404378480,809404395950,809404396020,809404396650,809404396740,809404396860,809404396960,809404397290,809404397340,809404400020,50,10
17,1609118826,0,1,48,8,809404477020,809404493840,809404493910,809404494540,809404494630,809404494750,809404494850,809404495170,809404495230,809404497870,50,10
18,1625896042,0,1,48,8,809404575000,809404590900,809404590970,809404591630,809404591710,809404591840,809404591980,809404592290,809404592350,809404595020,50,10
19,1642673258,0,1,48,8,809404676110,809404711850,809404711920,809404712560,809404712640,809404712760,809404712860,809404713190,809404713240,809404715880,50,10
20,1659450474,0,1,48,8,809404792940,809404810940,809404811010,809404811650,809404811730,809404811860,809404811960,809404812280,809404812330,809404815000,50,10
21,1676227690,0,1,48,8,809404891820,809404909660,809404909740,809404910370,809404910460,809404910580,809404910680,809404911000,809404911050,809404913700,50,10
22,1693004906,0,1,48,8,809404990670,809405007470,809405007550,809405008180,809405008270,809405008390,809405008490,809405008810,809405008870,809405011540,50,10
23,1709782122,0,1,48,8,809405088460,809405106200,809405106270,809405106900,809405106990,809405107110,809405107210,809405107530,809405107590,809405110230,50,10
24,1726559338,0,1,48,8,809405187110,809405207780,809405207860,809405208490,809405208580,809405208700,809405208800,809405209120,809405209170,809405211850,50,10
25,1743336554,0,1,48,8,809405271080,809405305530,809405305660,809405306540,809405306660,809405306770,809405306920,809405307230,809405307290,809405309960,50,10
26,1760113770,0,1,48,8,809405380090,809405403220,809405403290,809405403950,809405404040,809405404160,809405404260,809405404580,809405404640,809405407290,50,10
27,1776890986,0,1,48,8,809405476580,809405500420,809405500490,809405501150,809405501240,809405501370,809405501510,809405501830,809405501890,809405504540,50,10
28,1793668202,0,1,48,8,809405573800,809405597800,809405597870,809405598570,809405598650,809405598770,809405598870,809405599200,809405599250,809405601920,50,10
29,1810445418,0,1,48,8,809405680330,809405717310,809405717380,809405718120,809405718200,809405718320,809405718460,809405718780,809405718840,809405721490,50,10
30,1827222634,0,1,48,8,809405790770,809405816760,809405816840,809405817470,809405817560,809405817680,809405817780,809405818100,809405818150,809405820800,50,10
31,1843999850,0,1,48,8,809405889730,809405914530,809405914600,809405915230,809405915320,809405915440,809405915540,809405915860,809405915920,809405918560,50,10
32,1860777066,0,1,48,8,809406038550,809406043880,809406043960,809406044590,809406044680,809406044800,809406044900,809406045220,809406045270,809406047930,50,10
33,1877554282,0,1,48,8,809406116900,809406136670,809406136750,809406137380,809406137470,809406137590,809406137690,809406138010,809406138060,809406140710,50,10
34,1894331498,0,1,48,8,809406209670,809406228050,809406228120,809406228760,809406228840,809406228970,809406229070,809406229390,809406229440,809406232100,50,10
35,1911108714,0,1,48,8,809406300970,809406316480,809406316550,809406317180,809406317270,809406317390,809406317490,809406317810,809406317870,809406320500,50,10
36,1927885930,0,1,48,8,809406389430,809406404420,809406404490,809406405130,809406405210,809406405340,809406405440,809406405760,809406405810,809406408460,50,10
37,1944663146,0,1,48,8,809406478290,809406492560,809406492630,809406493260,809406493350,809406493460,809406493570,809406493890,809406493940,809406496590,50,10
38,1961440362,0,1,48,8,809406565510,809406580330,809406580400,809406581040,809406581120,809406581250,809406581340,809406581670,809406581720,809406584380,50,10
39,1978217578,0,1,48,8,809406663140,809406686700,809406686770,809406687540,809406687660,809406687780,809406687920,809406688230,809406688290,809406690960,50,10
40,1994994794,0,1,48,8,809406760230,809406787550,809406787620,809406788250,809406788340,809406788460,809406788560,809406788880,809406788940,809406791590,50,10
41,2011772010,0,1,48,8,809406860570,809406878220,809406878290,809406878930,809406879010,809406879130,809406879230,809406879560,809406879610,809406882260,50,10
42,2028549226,0,1,48,8,809406951230,809406968880,809406968960,809406969590,809406969670,809406969800,809406969900,809406970220,809406970270,809406972950,50,10
43,2045326442,0,1,48,8,809407041910,809407058430,809407058500,809407059140,809407059220,809407059340,809407059440,809407059770,809407059820,809407062460,50,10
44,2062103658,0,1,48,8,809407133120,809407147280,809407147350,809407147980,809407148070,809407148190,809407148290,809407148620,809407148670,809407151330,50,10
45,2078880874,0,1,48,8,809407220280,809407235340,809407235410,809407236040,809407236130,809407236250,809407236350,809407236670,809407236730,809407239360,50,10
46,2095658090,0,1,48,8,809407308250,809407325040,809407325110,809407325750,809407325830,809407325960,809407326050,809407326380,809407326430,809407329080,50,10
47,2112435306,0,1,48,8,809407398130,809407413040,809407413110,809407413740,809407413830,809407413950,809407414050,809407414370,809407414430,809407417080,50,10
