Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,2004200000000080,01,0a,1,000000156aeec23b,1,0
18,18,0,2800300000008180,01,06,0,000000156aeec482,1,0
19,19,0,2800300000008280,01,06,0,000000156aeec485,1,0
20,20,0,2800300000008380,01,06,0,000000156aeec488,1,0
21,21,0,2840300000008480,01,06,0,000000156aeec48b,1,0
22,22,0,2844300000008580,01,06,0,000000156aeec48e,1,0
23,23,0,2847f00000008680,01,06,0,000000156aeec491,1,0
24,24,0,5003c00000008180,11,04,4,000000156aeec540,1,0
25,25,0,5003c00000008280,11,04,4,000000156aeec564,1,0
26,26,0,5003c00000008380,11,04,4,000000156aeec587,1,0
27,27,0,0007e00000008180,11,04,2,000000156aeec592,1,0
28,28,0,5043c00000008480,11,04,4,000000156aeec5ab,1,0
29,29,0,0007e00000008280,11,04,2,000000156aeec5b6,1,0
30,30,0,5047c00000008580,11,04,4,000000156aeec5ce,1,0
31,31,0,0007e00000008380,11,04,2,000000156aeec5d8,1,0
32,32,0,5047c00000008680,11,04,4,000000156aeec5f2,1,0
33,33,0,0007e00000008480,11,04,2,000000156aeec5fa,1,0
34,34,0,0007e00000008580,11,04,2,000000156aeec61e,1,0
35,35,0,0007e00000008680,11,04,2,000000156aeec644,1,0
36,36,0,0003e00000008080,01,06,0,000000156aeec649,1,0
37,37,0,4803c00000008080,11,04,4,000000156aeec895,1,0
38,38,0,0003e00000000080,01,06,0,000000156aeec911,1,0
39,39,0,4803c00000000080,11,04,4,000000156aeeca98,1,0
40,40,0,3803e00000008080,01,06,0,000000156aeecc39,1,0
41,41,0,2800300000008180,01,06,0,000000156aeecc50,1,0
42,42,0,2800300000008280,01,06,0,000000156aeecc53,1,0
43,43,0,2800300000008380,01,06,0,000000156aeecc56,1,0
44,44,0,2844300000008480,01,06,0,000000156aeecc59,1,0
45,45,0,2840300000008580,01,06,0,000000156aeecc5c,1,0
46,46,0,284bf00000008680,01,06,0,000000156aeecc5f,1,0
47,47,0,5000000000008080,01,0a,3,000000156aeecc8b,1,0
48,48,0,5003c00000008180,11,04,4,000000156aeecd0e,1,0
49,49,0,5003c00000008280,11,04,4,000000156aeecd32,1,0
50,50,0,5003c00000008380,11,04,4,000000156aeecd55,1,0
51,51,0,0007e00000008180,11,04,2,000000156aeecd60,1,0
52,52,0,5047c00000008480,11,04,4,000000156aeecd79,1,0
53,53,0,0007e00000008280,11,04,2,000000156aeecd84,1,0
54,54,0,5043c00000008580,11,04,4,000000156aeecd9c,1,0
55,55,0,0007e00000008380,11,04,2,000000156aeecda4,1,0
56,56,0,504bc00000008680,11,04,4,000000156aeecdc0,1,0
57,57,0,0007e00000008480,11,04,2,000000156aeecdc8,1,0
58,58,0,0007e00000008580,11,04,2,000000156aeecdee,1,0
59,59,0,0007e00000008680,11,04,2,000000156aeece12,1,0
60,60,0,5807e40000008080,01,08,5,000000156aeeceaf,1,0
61,61,0,1807e00000008080,11,04,2,000000156aeecefc,1,0
62,62,0,7007e40000000080,01,08,5,000000156aeed1bc,1,0
63,63,0,2004200000000080,01,0a,1,000000156aeed201,1,0
64,64,0,2804300000008180,01,06,0,000000156aeed463,1,0
65,65,0,2800300000008280,01,06,0,000000156aeed466,1,0
66,66,0,2800300000008380,01,06,0,000000156aeed469,1,0
67,67,0,2840300000008480,01,06,0,000000156aeed46c,1,0
68,68,0,2840300000008580,01,06,0,000000156aeed46f,1,0
69,69,0,2847f00000008680,01,06,0,000000156aeed472,1,0
70,70,0,5007c00000008180,11,04,4,000000156aeed522,1,0
71,71,0,5003c00000008280,11,04,4,000000156aeed545,1,0
72,72,0,5003c00000008380,11,04,4,000000156aeed569,1,0
73,73,0,0007e00000008180,11,04,2,000000156aeed574,1,0
74,74,0,5043c00000008480,11,04,4,000000156aeed58c,1,0
75,75,0,0007e00000008280,11,04,2,000000156aeed596,1,0
76,76,0,5043c00000008580,11,04,4,000000156aeed5b0,1,0
77,77,0,0007e00000008380,11,04,2,000000156aeed5ba,1,0
78,78,0,5047c00000008680,11,04,4,000000156aeed5d3,1,0
79,79,0,0007e00000008480,11,04,2,000000156aeed5dc,1,0
80,80,0,0007e00000008580,11,04,2,000000156aeed600,1,0
81,81,0,0007e00000008680,11,04,2,000000156aeed625,1,0
82,82,0,0003e00000008080,01,06,0,000000156aeed628,1,0
83,83,0,4803c00000008080,11,04,4,000000156aeed873,1,0
84,84,0,0003e00000000080,01,06,0,000000156aeed8f0,1,0
85,85,0,4803c00000000080,11,04,4,000000156aeedab9,1,0
86,86,0,3803e00000008080,01,06,0,000000156aeedc41,1,0
87,87,0,2804300000008180,01,06,0,000000156aeedc57,1,0
88,88,0,2800300000008280,01,06,0,000000156aeedc5a,1,0
89,89,0,2800300000008380,01,06,0,000000156aeedc5d,1,0
90,90,0,2844300000008480,01,06,0,000000156aeedc60,1,0
91,91,0,2844300000008580,01,06,0,000000156aeedc63,1,0
92,92,0,2847f00000008680,01,06,0,000000156aeedc66,1,0
93,93,0,5000000000008080,01,0a,3,000000156aeedc93,1,0
94,94,0,5007c00000008180,11,04,4,000000156aeedd15,1,0
95,95,0,5003c00000008280,11,04,4,000000156aeedd38,1,0
96,96,0,5003c00000008380,11,04,4,000000156aeedd5c,1,0
97,97,0,0007e00000008180,11,04,2,000000156aeedd66,1,0
98,98,0,5047c00000008480,11,04,4,000000156aeedd7f,1,0
99,99,0,0007e00000008280,11,04,2,000000156aeedd88,1,0
100,100,0,5047c00000008580,11,04,4,000000156aeedda3,1,0
101,101,0,0007e00000008380,11,04,2,000000156aeeddac,1,0
102,102,0,5047c00000008680,11,04,4,000000156aeeddc6,1,0
103,103,0,0007e00000008480,11,04,2,000000156aeeddd0,1,0
104,104,0,0007e00000008580,11,04,2,000000156aeeddf4,1,0
105,105,0,0007e00000008680,11,04,2,000000156aeede18,1,0
106,106,0,5807e40000008080,01,08,5,000000156aeedeaf,1,0
107,107,0,1807e00000008080,11,04,2,000000156aeedefc,1,0
108,108,0,2800300000008180,01,06,0,000000156aeee2ef,1,0
109,109,0,2800300000008280,01,06,0,000000156aeee2f2,1,0
110,110,0,2800300000008380,01,06,0,000000156aeee2f5,1,0
111,111,0,2840300000008480,01,06,0,000000156aeee2f8,1,0
112,112,0,2844300000008580,01,06,0,000000156aeee2fb,1,0
113,113,0,2843f00000008680,01,06,0,000000156aeee2fe,1,0
114,114,0,5003c00000008180,11,04,4,000000156aeee3ae,1,0
115,115,0,5003c00000008280,11,04,4,000000156aeee3d1,1,0
116,116,0,5003c00000008380,11,04,4,000000156aeee3f5,1,0
117,117,0,0007e00000008180,11,04,2,000000156aeee3fe,1,0
118,118,0,5043c00000008480,11,04,4,000000156aeee418,1,0
119,119,0,0007e00000008280,11,04,2,000000156aeee420,1,0
120,120,0,5047c00000008580,11,04,4,000000156aeee43b,1,0
121,121,0,0007e00000008380,11,04,2,000000156aeee446,1,0
122,122,0,5043c00000008680,11,04,4,000000156aeee45f,1,0
123,123,0,0007e00000008480,11,04,2,000000156aeee46a,1,0
124,124,0,0007e00000008580,11,04,2,000000156aeee48c,1,0
125,125,0,0007e00000008680,11,04,2,000000156aeee4af,1,0
126,126,0,0007e00000008080,01,06,0,000000156aeee4b4,1,0
127,127,0,4807c00000008080,11,04,4,000000156aeee700,1,0
128,128,0,7007e40000000080,01,08,5,000000156aeee818,1,0
129,129,0,2004200000000080,01,0a,1,000000156aeee85d,1,0
130,130,0,3803e00000008080,01,06,0,000000156aeeeaaa,1,0
131,131,0,2800300000008180,01,06,0,000000156aeeeabf,1,0
132,132,0,2800300000008280,01,06,0,000000156aeeeac2,1,0
133,133,0,2800300000008380,01,06,0,000000156aeeeac5,1,0
134,134,0,2840300000008480,01,06,0,000000156aeeeac8,1,0
135,135,0,2840300000008580,01,06,0,000000156aeeeacb,1,0
136,136,0,2843f00000008680,01,06,0,000000156aeeeace,1,0
137,137,0,5000000000008080,01,0a,3,000000156aeeeafb,1,0
