index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
33,0x3020200000008400,6,ECI_CMD_MRSP_HAKI,9024388482,0x0000008400,,,,0,,8,1,,,1,0x0000008400,11,,,,0,,0
34,0x3008200000008100,6,ECI_CMD_MRSP_HAKI,9024388484,0x0000008100,,,,0,,2,1,,,1,0x0000008100,11,,,,0,,0
35,0x3010200000008200,6,ECI_CMD_MRSP_HAKI,9024388486,0x0000008200,,,,0,,4,1,,,1,0x0000008200,11,,,,0,,0
36,0x3018200000008300,6,ECI_CMD_MRSP_HAKI,9024388488,0x0000008300,,,,0,,6,1,,,1,0x0000008300,11,,,,0,,0
37,0x3028200000008500,6,ECI_CMD_MRSP_HAKI,9024388490,0x0000008500,,,,0,,10,1,,,1,0x0000008500,11,,,,0,,0
38,0x3030200000008600,6,ECI_CMD_MRSP_HAKI,9024388492,0x0000008600,,,,0,,12,1,,,1,0x0000008600,11,,,,0,,0
39,0x0003e00000000000,0,ECI_CMD_MREQ_RLDD,25832937382055,0x0000000000,,,,15,,,1,,0,0,0x0000000000,7,,,0,0,0,
40,0x4803c00000000000,9,ECI_CMD_MRSP_PSHA,25832937382223,,0,0,0,15,0,,,0,0,4,,5,0,0,,0,,0
41,0x0007f00000000100,0,ECI_CMD_MREQ_RLDD,25832937382736,0x0000000100,,,,15,,,1,,1,0,0x0000000100,7,,,0,4,0,
