Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_sys/traceOut_src[2:0],i_app/dcs_odd/i_trace_sys/traceOut_ts[63:0],i_app/dcs_odd/i_trace_sys/dump_1,i_app/dcs_odd/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,0007e00000008200,11,05,2,0000009928072190,1,0
18,18,0,5047c00000008500,11,05,4,00000099280721ae,1,0
19,19,0,0007e00000008300,11,05,2,00000099280721b6,1,0
20,20,0,5047c00000008600,11,05,4,00000099280721d1,1,0
21,21,0,0007e00000008400,11,05,2,00000099280721da,1,0
22,22,0,0007e00000008500,11,05,2,00000099280721fe,1,0
23,23,0,0007e00000008600,11,05,2,0000009928072220,1,0
24,24,0,5803e40000008000,01,09,5,00000099280722d3,1,0
25,25,0,1803e00000008000,11,05,2,000000992807231d,1,0
26,26,0,2804300000008100,01,07,0,0000009928072724,1,0
27,27,0,2800300000008200,01,07,0,0000009928072727,1,0
28,28,0,2800300000008300,01,07,0,000000992807272a,1,0
29,29,0,2840300000008400,01,07,0,000000992807272d,1,0
30,30,0,2840300000008500,01,07,0,0000009928072730,1,0
31,31,0,2844300000008600,01,07,0,0000009928072733,1,0
32,32,0,5007c00000008100,11,05,4,00000099280727ca,1,0
33,33,0,5003c00000008200,11,05,4,00000099280727ee,1,0
34,34,0,5003c00000008300,11,05,4,0000009928072811,1,0
35,35,0,0007e00000008100,11,05,2,000000992807281a,1,0
36,36,0,5043c00000008400,11,05,4,0000009928072834,1,0
37,37,0,0007e00000008200,11,05,2,000000992807283e,1,0
38,38,0,5043c00000008500,11,05,4,0000009928072858,1,0
39,39,0,0007e00000008300,11,05,2,000000992807285e,1,0
40,40,0,5047c00000008600,11,05,4,000000992807287b,1,0
41,41,0,0007e00000008400,11,05,2,0000009928072884,1,0
42,42,0,0007e00000008500,11,05,2,00000099280728a8,1,0
43,43,0,0007e00000008600,11,05,2,00000099280728ca,1,0
44,44,0,0007e00000008000,01,07,0,00000099280728e2,1,0
45,45,0,4807c00000008000,11,05,4,0000009928072b2d,1,0
46,46,0,3807e00000008000,01,07,0,0000009928072db1,1,0
47,47,0,2800300000008100,01,07,0,0000009928072dc8,1,0
48,48,0,2800300000008200,01,07,0,0000009928072dcb,1,0
49,49,0,2800300000008300,01,07,0,0000009928072dce,1,0
50,50,0,2840300000008400,01,07,0,0000009928072dd1,1,0
51,51,0,2844300000008500,01,07,0,0000009928072dd4,1,0
52,52,0,2840300000008600,01,07,0,0000009928072dd7,1,0
53,53,0,5004000000008000,01,0b,3,0000009928072dff,1,0
54,54,0,5003c00000008100,11,05,4,0000009928072e6e,1,0
55,55,0,5003c00000008200,11,05,4,0000009928072e92,1,0
56,56,0,5003c00000008300,11,05,4,0000009928072eb5,1,0
57,57,0,0007e00000008100,11,05,2,0000009928072ebe,1,0
58,58,0,5043c00000008400,11,05,4,0000009928072ed8,1,0
59,59,0,0007e00000008200,11,05,2,0000009928072ee2,1,0
60,60,0,5047c00000008500,11,05,4,0000009928072efc,1,0
61,61,0,0007e00000008300,11,05,2,0000009928072f02,1,0
62,62,0,5043c00000008600,11,05,4,0000009928072f1f,1,0
63,63,0,0007e00000008400,11,05,2,0000009928072f28,1,0
64,64,0,0007e00000008500,11,05,2,0000009928072f4c,1,0
65,65,0,0007e00000008600,11,05,2,0000009928072f6e,1,0
66,66,0,5803e40000008000,01,09,5,0000009928073021,1,0
67,67,0,1803e00000008000,11,05,2,000000992807306e,1,0
68,68,0,2800300000008100,01,07,0,000000992807345d,1,0
69,69,0,2800300000008200,01,07,0,0000009928073461,1,0
70,70,0,2800300000008300,01,07,0,0000009928073464,1,0
71,71,0,2844300000008400,01,07,0,0000009928073467,1,0
72,72,0,2840300000008500,01,07,0,000000992807346a,1,0
73,73,0,2840300000008600,01,07,0,000000992807346d,1,0
74,74,0,5003c00000008100,11,05,4,0000009928073504,1,0
75,75,0,5003c00000008200,11,05,4,000000992807352c,1,0
76,76,0,5003c00000008300,11,05,4,000000992807354f,1,0
77,77,0,0007e00000008100,11,05,2,0000009928073554,1,0
78,78,0,5047c00000008400,11,05,4,0000009928073573,1,0
79,79,0,0007e00000008200,11,05,2,000000992807357c,1,0
80,80,0,5043c00000008500,11,05,4,0000009928073596,1,0
81,81,0,0007e00000008300,11,05,2,000000992807359c,1,0
82,82,0,5043c00000008600,11,05,4,00000099280735ba,1,0
83,83,0,0007e00000008400,11,05,2,00000099280735c2,1,0
84,84,0,0007e00000008500,11,05,2,00000099280735e6,1,0
85,85,0,0007e00000008600,11,05,2,000000992807360a,1,0
86,86,0,0003e00000008000,01,07,0,0000009928073620,1,0
87,87,0,4803c00000008000,11,05,4,000000992807386a,1,0
88,88,0,3803e00000008000,01,07,0,0000009928073aea,1,0
89,89,0,2804300000008100,01,07,0,0000009928073afe,1,0
90,90,0,2800300000008200,01,07,0,0000009928073b01,1,0
91,91,0,2800300000008300,01,07,0,0000009928073b04,1,0
92,92,0,2844300000008400,01,07,0,0000009928073b08,1,0
93,93,0,2840300000008500,01,07,0,0000009928073b0b,1,0
94,94,0,2844300000008600,01,07,0,0000009928073b0e,1,0
95,95,0,5000000000008000,01,0b,3,0000009928073b38,1,0
96,96,0,5007c00000008100,11,05,4,0000009928073ba4,1,0
97,97,0,5003c00000008200,11,05,4,0000009928073bcd,1,0
98,98,0,5003c00000008300,11,05,4,0000009928073bf0,1,0
99,99,0,0007e00000008100,11,05,2,0000009928073bf4,1,0
100,100,0,5047c00000008400,11,05,4,0000009928073c13,1,0
101,101,0,0007e00000008200,11,05,2,0000009928073c1b,1,0
102,102,0,5043c00000008500,11,05,4,0000009928073c37,1,0
103,103,0,0007e00000008300,11,05,2,0000009928073c3e,1,0
104,104,0,5047c00000008600,11,05,4,0000009928073c5a,1,0
105,105,0,0007e00000008400,11,05,2,0000009928073c62,1,0
106,106,0,0007e00000008500,11,05,2,0000009928073c86,1,0
107,107,0,0007e00000008600,11,05,2,0000009928073caa,1,0
108,108,0,5803e40000008000,01,09,5,0000009928073d5c,1,0
109,109,0,1803e00000008000,11,05,2,0000009928073da6,1,0
110,110,0,2800300000008100,01,07,0,00000099280741a5,1,0
111,111,0,2800300000008200,01,07,0,00000099280741a8,1,0
112,112,0,2804300000008300,01,07,0,00000099280741ab,1,0
113,113,0,2840300000008400,01,07,0,00000099280741ae,1,0
114,114,0,2840300000008500,01,07,0,00000099280741b1,1,0
115,115,0,2840300000008600,01,07,0,00000099280741b4,1,0
116,116,0,5003c00000008100,11,05,4,000000992807424b,1,0
117,117,0,5003c00000008200,11,05,4,0000009928074274,1,0
118,118,0,5007c00000008300,11,05,4,0000009928074297,1,0
119,119,0,0007e00000008100,11,05,2,000000992807429a,1,0
120,120,0,5043c00000008400,11,05,4,00000099280742bb,1,0
121,121,0,0007e00000008200,11,05,2,00000099280742c4,1,0
122,122,0,5043c00000008500,11,05,4,00000099280742de,1,0
123,123,0,0007e00000008300,11,05,2,00000099280742e4,1,0
124,124,0,5043c00000008600,11,05,4,0000009928074301,1,0
125,125,0,0007e00000008400,11,05,2,000000992807430a,1,0
126,126,0,0007e00000008500,11,05,2,000000992807432e,1,0
127,127,0,0007e00000008600,11,05,2,0000009928074350,1,0
128,128,0,0007e00000008000,01,07,0,0000009928074365,1,0
129,129,0,4807c00000008000,11,05,4,00000099280745ae,1,0
130,130,0,3807e00000008000,01,07,0,0000009928074838,1,0
131,131,0,2804300000008100,01,07,0,000000992807484f,1,0
132,132,0,2800300000008200,01,07,0,0000009928074852,1,0
133,133,0,2800300000008300,01,07,0,0000009928074855,1,0
134,134,0,2840300000008400,01,07,0,0000009928074858,1,0
135,135,0,2840300000008500,01,07,0,000000992807485b,1,0
136,136,0,2840300000008600,01,07,0,000000992807485e,1,0
137,137,0,5004000000008000,01,0b,3,0000009928074887,1,0
138,138,0,5007c00000008100,11,05,4,00000099280748f6,1,0
139,139,0,5003c00000008200,11,05,4,0000009928074919,1,0
140,140,0,5003c00000008300,11,05,4,000000992807493d,1,0
141,141,0,0007e00000008100,11,05,2,0000009928074946,1,0
142,142,0,5043c00000008400,11,05,4,0000009928074960,1,0
143,143,0,0007e00000008200,11,05,2,0000009928074968,1,0
