Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,2840300000008580,01,06,0,0000009928079374,1,0
18,18,0,2847f00000008680,01,06,0,0000009928079377,1,0
19,19,0,5003c00000008180,11,04,4,0000009928079426,1,0
20,20,0,5003c00000008280,11,04,4,000000992807944a,1,0
21,21,0,5003c00000008380,11,04,4,000000992807946d,1,0
22,22,0,0007e00000008180,11,04,2,0000009928079476,1,0
23,23,0,5043c00000008480,11,04,4,0000009928079491,1,0
24,24,0,0007e00000008280,11,04,2,000000992807949a,1,0
25,25,0,5043c00000008580,11,04,4,00000099280794b4,1,0
26,26,0,0007e00000008380,11,04,2,00000099280794ba,1,0
27,27,0,5047c00000008680,11,04,4,00000099280794d8,1,0
28,28,0,0007e00000008480,11,04,2,00000099280794e0,1,0
29,29,0,0007e00000008580,11,04,2,0000009928079504,1,0
30,30,0,0007e00000008080,01,06,0,0000009928079528,1,0
31,31,0,0007e00000008680,11,04,2,000000992807952a,1,0
32,32,0,4807c00000008080,11,04,4,0000009928079771,1,0
33,33,0,3803e00000008080,01,06,0,0000009928079a00,1,0
34,34,0,2800300000008180,01,06,0,0000009928079a17,1,0
35,35,0,2800300000008280,01,06,0,0000009928079a1a,1,0
36,36,0,2804300000008380,01,06,0,0000009928079a1d,1,0
37,37,0,2844300000008480,01,06,0,0000009928079a20,1,0
38,38,0,2844300000008580,01,06,0,0000009928079a23,1,0
39,39,0,2847f00000008680,01,06,0,0000009928079a26,1,0
40,40,0,5000000000008080,01,0a,3,0000009928079a52,1,0
41,41,0,5003c00000008180,11,04,4,0000009928079ad9,1,0
42,42,0,5003c00000008280,11,04,4,0000009928079afc,1,0
43,43,0,5007c00000008380,11,04,4,0000009928079b20,1,0
44,44,0,0007e00000008180,11,04,2,0000009928079b28,1,0
45,45,0,5047c00000008480,11,04,4,0000009928079b43,1,0
46,46,0,0007e00000008280,11,04,2,0000009928079b4c,1,0
47,47,0,5047c00000008580,11,04,4,0000009928079b67,1,0
48,48,0,0007e00000008380,11,04,2,0000009928079b70,1,0
49,49,0,5047c00000008680,11,04,4,0000009928079b8a,1,0
50,50,0,0007e00000008480,11,04,2,0000009928079b92,1,0
51,51,0,0007e00000008580,11,04,2,0000009928079bb4,1,0
52,52,0,0007e00000008680,11,04,2,0000009928079bdb,1,0
53,53,0,5807e40000008080,01,08,5,0000009928079c6f,1,0
54,54,0,0003e00000008080,01,06,0,0000009928062df9,1,0
55,55,0,0007e00000008680,11,04,2,0000009928062dfb,1,0
56,56,0,4803c00000008080,11,04,4,0000009928063043,1,0
57,57,0,3803e00000008080,01,06,0,00000099280632b5,1,0
58,58,0,2800300000008180,01,06,0,00000099280632c9,1,0
59,59,0,2800300000008280,01,06,0,00000099280632cc,1,0
60,60,0,2800300000008380,01,06,0,00000099280632cf,1,0
61,61,0,2844300000008480,01,06,0,00000099280632d2,1,0
62,62,0,2840300000008580,01,06,0,00000099280632d5,1,0
63,63,0,2847f00000008680,01,06,0,00000099280632d8,1,0
64,64,0,5000000000008080,01,0a,3,0000009928063306,1,0
65,65,0,5003c00000008180,11,04,4,0000009928063387,1,0
66,66,0,5003c00000008280,11,04,4,00000099280633aa,1,0
67,67,0,5003c00000008380,11,04,4,00000099280633ce,1,0
68,68,0,0007e00000008180,11,04,2,00000099280633d6,1,0
69,69,0,5047c00000008480,11,04,4,00000099280633f1,1,0
70,70,0,0007e00000008280,11,04,2,00000099280633fa,1,0
71,71,0,5043c00000008580,11,04,4,0000009928063415,1,0
72,72,0,0007e00000008380,11,04,2,000000992806341d,1,0
73,73,0,5047c00000008680,11,04,4,0000009928063438,1,0
74,74,0,0007e00000008480,11,04,2,0000009928063440,1,0
75,75,0,0007e00000008580,11,04,2,0000009928063464,1,0
76,76,0,0007e00000008680,11,04,2,0000009928063489,1,0
77,77,0,5807e40000008080,01,08,5,000000992806351e,1,0
78,78,0,1807e00000008080,11,04,2,000000992806356c,1,0
79,79,0,2804300000008180,01,06,0,0000009928063952,1,0
80,80,0,2804300000008280,01,06,0,0000009928063955,1,0
81,81,0,2800300000008380,01,06,0,0000009928063958,1,0
82,82,0,2840300000008480,01,06,0,000000992806395b,1,0
83,83,0,2840300000008580,01,06,0,000000992806395e,1,0
84,84,0,2843f00000008680,01,06,0,0000009928063961,1,0
85,85,0,5007c00000008180,11,04,4,0000009928063a13,1,0
86,86,0,5007c00000008280,11,04,4,0000009928063a36,1,0
87,87,0,5003c00000008380,11,04,4,0000009928063a5a,1,0
88,88,0,0007e00000008180,11,04,2,0000009928063a60,1,0
89,89,0,5043c00000008480,11,04,4,0000009928063a7d,1,0
90,90,0,0007e00000008280,11,04,2,0000009928063a86,1,0
91,91,0,5043c00000008580,11,04,4,0000009928063aa1,1,0
92,92,0,0007e00000008380,11,04,2,0000009928063aaa,1,0
93,93,0,5043c00000008680,11,04,4,0000009928063ac4,1,0
94,94,0,0007e00000008480,11,04,2,0000009928063acc,1,0
95,95,0,0007e00000008580,11,04,2,0000009928063af0,1,0
96,96,0,0007e00000008680,11,04,2,0000009928063b13,1,0
97,97,0,0003e00000008080,01,06,0,0000009928063b15,1,0
98,98,0,4803c00000008080,11,04,4,0000009928063d5f,1,0
99,99,0,3807e00000008080,01,06,0,0000009928063fc5,1,0
100,100,0,2800300000008180,01,06,0,0000009928063fdb,1,0
101,101,0,2804300000008280,01,06,0,0000009928063fde,1,0
102,102,0,2804300000008380,01,06,0,0000009928063fe1,1,0
103,103,0,2840300000008480,01,06,0,0000009928063fe4,1,0
104,104,0,2840300000008580,01,06,0,0000009928063fe7,1,0
105,105,0,2843f00000008680,01,06,0,0000009928063fea,1,0
106,106,0,5004000000008080,01,0a,3,0000009928064016,1,0
107,107,0,5003c00000008180,11,04,4,000000992806409a,1,0
108,108,0,5007c00000008280,11,04,4,00000099280640bd,1,0
109,109,0,5007c00000008380,11,04,4,00000099280640e1,1,0
110,110,0,0007e00000008180,11,04,2,00000099280640ea,1,0
111,111,0,5043c00000008480,11,04,4,0000009928064104,1,0
112,112,0,0007e00000008280,11,04,2,000000992806410c,1,0
113,113,0,5043c00000008580,11,04,4,0000009928064128,1,0
114,114,0,0007e00000008380,11,04,2,000000992806412e,1,0
115,115,0,5043c00000008680,11,04,4,000000992806414b,1,0
116,116,0,0007e00000008480,11,04,2,0000009928064154,1,0
117,117,0,0007e00000008580,11,04,2,0000009928064178,1,0
118,118,0,0007e00000008680,11,04,2,000000992806419c,1,0
119,119,0,5807e40000008080,01,08,5,0000009928064230,1,0
120,120,0,1807e00000008080,11,04,2,000000992806427e,1,0
121,121,0,2800300000008180,01,06,0,0000009928064659,1,0
122,122,0,2804300000008280,01,06,0,000000992806465c,1,0
123,123,0,2800300000008380,01,06,0,000000992806465f,1,0
124,124,0,2844300000008480,01,06,0,0000009928064662,1,0
125,125,0,2840300000008580,01,06,0,0000009928064665,1,0
126,126,0,2843f00000008680,01,06,0,0000009928064668,1,0
127,127,0,5003c00000008180,11,04,4,0000009928064717,1,0
128,128,0,5007c00000008280,11,04,4,000000992806473a,1,0
129,129,0,5003c00000008380,11,04,4,000000992806475e,1,0
130,130,0,0007e00000008180,11,04,2,0000009928064766,1,0
131,131,0,5047c00000008480,11,04,4,0000009928064781,1,0
132,132,0,0007e00000008280,11,04,2,000000992806478a,1,0
133,133,0,5043c00000008580,11,04,4,00000099280647a5,1,0
134,134,0,0007e00000008380,11,04,2,00000099280647ae,1,0
135,135,0,5043c00000008680,11,04,4,00000099280647c8,1,0
136,136,0,0007e00000008480,11,04,2,00000099280647ce,1,0
137,137,0,0007e00000008580,11,04,2,00000099280647f4,1,0
138,138,0,0003e00000008080,01,06,0,0000009928064818,1,0
139,139,0,0007e00000008680,11,04,2,000000992806481a,1,0
140,140,0,4803c00000008080,11,04,4,0000009928064a62,1,0
141,141,0,7007e40000000080,01,08,5,000000992806c96f,1,0
142,142,0,2004200000000080,01,0a,1,000000992806c9b3,1,0
143,143,0,0007e00000000080,01,06,0,000000992806cc9e,1,0
