Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
434,434,0,0007e00000008200,11,05,2,0000005f0cbcce5e,1,0
435,435,0,5047c00000008600,11,05,4,0000005f0cbcce64,1,0
436,436,0,0007e00000008300,11,05,2,0000005f0cbcce73,1,0
437,437,0,0007e00000008400,11,05,2,0000005f0cbcce89,1,0
438,438,0,0007e00000008500,11,05,2,0000005f0cbcce9f,1,0
439,439,0,0007e00000008600,11,05,2,0000005f0cbcceb6,1,0
440,440,0,5803e40000008000,01,09,5,0000005f0cbccf08,1,0
441,441,0,1803e00000008000,11,05,2,0000005f0cbccf55,1,0
442,442,0,2800300000008100,01,07,0,0000005f0cbcd1b7,1,0
443,443,0,2800300000008200,01,07,0,0000005f0cbcd1b9,1,0
444,444,0,2804300000008300,01,07,0,0000005f0cbcd1bb,1,0
445,445,0,2844300000008400,01,07,0,0000005f0cbcd1bd,1,0
446,446,0,2844300000008500,01,07,0,0000005f0cbcd1bf,1,0
447,447,0,2844300000008600,01,07,0,0000005f0cbcd1c1,1,0
448,448,0,5003c00000008100,11,05,4,0000005f0cbcd203,1,0
449,449,0,5003c00000008200,11,05,4,0000005f0cbcd219,1,0
450,450,0,5007c00000008300,11,05,4,0000005f0cbcd22f,1,0
451,451,0,5047c00000008400,11,05,4,0000005f0cbcd245,1,0
452,452,0,0007e00000008100,11,05,2,0000005f0cbcd254,1,0
453,453,0,5047c00000008500,11,05,4,0000005f0cbcd25b,1,0
454,454,0,0007e00000008200,11,05,2,0000005f0cbcd26a,1,0
455,455,0,5047c00000008600,11,05,4,0000005f0cbcd271,1,0
456,456,0,0007e00000008300,11,05,2,0000005f0cbcd280,1,0
457,457,0,0007e00000008400,11,05,2,0000005f0cbcd297,1,0
458,458,0,0007e00000008500,11,05,2,0000005f0cbcd2ab,1,0
459,459,0,0007e00000008600,11,05,2,0000005f0cbcd2c2,1,0
460,460,0,0003e00000008000,01,07,0,0000005f0cbcd2cc,1,0
461,461,0,4803c00000008000,11,05,4,0000005f0cbcd41d,1,0
462,462,0,3803e00000008000,01,07,0,0000005f0cbcd5b0,1,0
463,463,0,2804300000008100,01,07,0,0000005f0cbcd5be,1,0
464,464,0,2800300000008200,01,07,0,0000005f0cbcd5c0,1,0
465,465,0,2800300000008300,01,07,0,0000005f0cbcd5c2,1,0
466,466,0,2844300000008400,01,07,0,0000005f0cbcd5c4,1,0
467,467,0,2840300000008500,01,07,0,0000005f0cbcd5c6,1,0
468,468,0,2844300000008600,01,07,0,0000005f0cbcd5c8,1,0
469,469,0,5000000000008000,01,0b,3,0000005f0cbcd5ca,1,0
