index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
465,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579837463,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
466,0x182fe00000008580,3,ECI_CMD_MRSP_VICDHI,93579837467,0x0000008580,,,,15,,11,1,,,2,0x0000008580,4,,,,0,,0
467,0x1837e00000008680,3,ECI_CMD_MRSP_VICDHI,93579837469,0x0000008680,,,,15,,13,1,,,2,0x0000008680,4,,,,0,,0
468,0x4807c00000008080,9,ECI_CMD_MRSP_PSHA,93579837950,,257,257,0,15,0,,,0,1,4,,4,0,0,,0,,0
469,0x0007e00000000080,0,ECI_CMD_MREQ_RLDD,93579838074,0x0000000080,,,,15,,,1,,1,0,0x0000000080,6,,,0,0,0,
470,0x4807c00000000080,9,ECI_CMD_MRSP_PSHA,93579838533,,1,1,0,15,0,,,0,1,4,,4,0,0,,0,,0
471,0x3803e00000008080,7,ECI_CMD_MREQ_RC2D_S,93579838946,0x0000008080,,,,15,,,1,,0,0,0x0000008080,6,,,0,0,0,
472,0x2843f00000008680,5,ECI_CMD_MREQ_RLDX,93579838967,0x0000008680,,,,15,,,1,,16,0,0x0000008680,6,,,0,4,0,
473,0x2804300000008180,5,ECI_CMD_MREQ_RLDX,93579838970,0x0000008180,,,,0,,,1,,1,0,0x0000008180,6,,,0,4,0,
474,0x2800300000008280,5,ECI_CMD_MREQ_RLDX,93579838972,0x0000008280,,,,0,,,1,,0,0,0x0000008280,6,,,0,4,0,
475,0x2804300000008380,5,ECI_CMD_MREQ_RLDX,93579838974,0x0000008380,,,,0,,,1,,1,0,0x0000008380,6,,,0,4,0,
476,0x2840300000008480,5,ECI_CMD_MREQ_RLDX,93579838976,0x0000008480,,,,0,,,1,,16,0,0x0000008480,6,,,0,4,0,
477,0x2844300000008580,5,ECI_CMD_MREQ_RLDX,93579838978,0x0000008580,,,,0,,,1,,17,0,0x0000008580,6,,,0,4,0,
478,0x5000000000008080,10,ECI_CMD_MRSP_PEMD,93579839024,,257,257,0,0,0,,,0,0,3,,10,0,0,,0,,0
479,0x5043c00000008680,10,ECI_CMD_MRSP_PEMD,93579839157,,269,269,0,15,0,,,0,16,4,,4,0,0,,0,,0
480,0x5007c00000008180,10,ECI_CMD_MRSP_PEMD,93579839192,,259,259,0,15,0,,,0,1,4,,4,0,0,,0,,0
481,0x5003c00000008280,10,ECI_CMD_MRSP_PEMD,93579839228,,261,261,0,15,0,,,0,0,4,,4,0,0,,0,,0
482,0x5007c00000008380,10,ECI_CMD_MRSP_PEMD,93579839263,,263,263,0,15,0,,,0,1,4,,4,0,0,,0,,0
483,0x5043c00000008480,10,ECI_CMD_MRSP_PEMD,93579839299,,265,265,0,15,0,,,0,16,4,,4,0,0,,0,,0
484,0x5047c00000008580,10,ECI_CMD_MRSP_PEMD,93579839334,,267,267,0,15,0,,,0,17,4,,4,0,0,,0,,0
485,0x1807e00000008080,3,ECI_CMD_MRSP_VICDHI,93579839637,0x0000008080,,,,15,,1,1,,,2,0x0000008080,4,,,,0,,0
486,0x180fe00000008180,3,ECI_CMD_MRSP_VICDHI,93579839958,0x0000008180,,,,15,,3,1,,,2,0x0000008180,4,,,,0,,0
487,0x1817e00000008280,3,ECI_CMD_MRSP_VICDHI,93579839963,0x0000008280,,,,15,,5,1,,,2,0x0000008280,4,,,,0,,0
488,0x181fe00000008380,3,ECI_CMD_MRSP_VICDHI,93579839965,0x0000008380,,,,15,,7,1,,,2,0x0000008380,4,,,,0,,0
489,0x1827e00000008480,3,ECI_CMD_MRSP_VICDHI,93579839970,0x0000008480,,,,15,,9,1,,,2,0x0000008480,4,,,,0,,0
