index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
461,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,58076197536,0x0000008200,,,,0,,,1,,0,0,0x0000008200,7,,,0,4,0,
462,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,58076197538,0x0000008300,,,,0,,,1,,0,0,0x0000008300,7,,,0,4,0,
463,0x2840300000008400,5,ECI_CMD_MREQ_RLDX,58076197540,0x0000008400,,,,0,,,1,,16,0,0x0000008400,7,,,0,4,0,
464,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,58076197542,0x0000008600,,,,0,,,1,,17,0,0x0000008600,7,,,0,4,0,
465,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,58076197544,0x0000008500,,,,0,,,1,,17,0,0x0000008500,7,,,0,4,0,
466,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,58076197610,,258,258,0,15,0,,,0,0,4,,5,0,0,,0,,0
467,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,58076197632,,260,260,0,15,0,,,0,0,4,,5,0,0,,0,,0
468,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,58076197654,,262,262,0,15,0,,,0,0,4,,5,0,0,,0,,0
469,0x5043c00000008400,10,ECI_CMD_MRSP_PEMD,58076197676,,264,264,0,15,0,,,0,16,4,,5,0,0,,0,,0
470,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,58076197698,,268,268,0,15,0,,,0,17,4,,5,0,0,,0,,0
471,0x5047c00000008500,10,ECI_CMD_MRSP_PEMD,58076197720,,266,266,0,15,0,,,0,17,4,,5,0,0,,0,,0
472,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,58076197807,0x0000008000,,,,15,,,1,,1,0,0x0000008000,7,,,0,0,0,
473,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,58076198155,0x0000008100,,,,15,,2,1,,,2,0x0000008100,5,,,,0,,0
474,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,58076198159,0x0000008200,,,,15,,4,1,,,2,0x0000008200,5,,,,0,,0
475,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,58076198163,0x0000008300,,,,15,,6,1,,,2,0x0000008300,5,,,,0,,0
476,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,58076198167,0x0000008400,,,,15,,8,1,,,2,0x0000008400,5,,,,0,,0
477,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,58076198171,0x0000008500,,,,15,,10,1,,,2,0x0000008500,5,,,,0,,0
478,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,58076198175,0x0000008600,,,,15,,12,1,,,2,0x0000008600,5,,,,0,,0
479,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,58076198425,,256,256,0,15,0,,,0,1,4,,5,0,0,,0,,0
480,0x3803e00000008000,7,ECI_CMD_MREQ_RC2D_S,58076198844,0x0000008000,,,,15,,,1,,0,0,0x0000008000,7,,,0,0,0,
