Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
138,138,0,0007e00000000000,01,07,0,0000000d859ca367,1,0
139,139,0,4807c00000000000,11,05,4,0000000d859ca467,1,0
140,140,0,3807e00000008000,01,07,0,0000000d859ca582,1,0
141,141,0,2800300000008100,01,07,0,0000000d859ca58e,1,0
142,142,0,2800300000008200,01,07,0,0000000d859ca590,1,0
143,143,0,2800300000008300,01,07,0,0000000d859ca592,1,0
144,144,0,2844300000008400,01,07,0,0000000d859ca594,1,0
145,145,0,2844300000008600,01,07,0,0000000d859ca596,1,0
146,146,0,2840300000008500,01,07,0,0000000d859ca598,1,0
147,147,0,5004000000008000,01,0b,3,0000000d859ca59a,1,0
148,148,0,5003c00000008100,11,05,4,0000000d859ca5da,1,0
149,149,0,5003c00000008200,11,05,4,0000000d859ca5f0,1,0
150,150,0,5003c00000008300,11,05,4,0000000d859ca606,1,0
151,151,0,5047c00000008400,11,05,4,0000000d859ca61c,1,0
152,152,0,5047c00000008600,11,05,4,0000000d859ca632,1,0
153,153,0,5043c00000008500,11,05,4,0000000d859ca648,1,0
154,154,0,1803e00000008000,11,05,2,0000000d859ca734,1,0
155,155,0,180be00000008100,11,05,2,0000000d859ca7f7,1,0
156,156,0,1813e00000008200,11,05,2,0000000d859ca7fb,1,0
157,157,0,181be00000008300,11,05,2,0000000d859ca7ff,1,0
158,158,0,1823e00000008400,11,05,2,0000000d859ca803,1,0
159,159,0,182be00000008500,11,05,2,0000000d859ca807,1,0
160,160,0,1833e00000008600,11,05,2,0000000d859ca80b,1,0
161,161,0,2000200000000000,01,0b,1,0000000d859caa28,1,0
162,162,0,2800300000008100,01,07,0,0000000d859cab9f,1,0
163,163,0,2804300000008200,01,07,0,0000000d859caba1,1,0
164,164,0,2800300000008300,01,07,0,0000000d859caba3,1,0
165,165,0,2840300000008400,01,07,0,0000000d859caba5,1,0
166,166,0,2840300000008600,01,07,0,0000000d859caba7,1,0
167,167,0,2840300000008500,01,07,0,0000000d859caba9,1,0
168,168,0,5003c00000008100,11,05,4,0000000d859cabeb,1,0
169,169,0,5007c00000008200,11,05,4,0000000d859cac01,1,0
170,170,0,5003c00000008300,11,05,4,0000000d859cac17,1,0
171,171,0,5043c00000008400,11,05,4,0000000d859cac2d,1,0
172,172,0,5043c00000008600,11,05,4,0000000d859cac43,1,0
173,173,0,5043c00000008500,11,05,4,0000000d859cac59,1,0
174,174,0,0003e00000008000,01,07,0,0000000d859cacb3,1,0
