Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
171,171,0,4807c00000008080,11,04,4,0000000d859c6684,1,0
172,172,0,3807e00000008080,01,06,0,0000000d859c682f,1,0
173,173,0,2843f00000008680,01,06,0,0000000d859c683c,1,0
174,174,0,2804300000008180,01,06,0,0000000d859c683e,1,0
175,175,0,2800300000008280,01,06,0,0000000d859c6840,1,0
176,176,0,2800300000008380,01,06,0,0000000d859c6842,1,0
177,177,0,2844300000008480,01,06,0,0000000d859c6844,1,0
178,178,0,2840300000008580,01,06,0,0000000d859c6846,1,0
179,179,0,5004000000008080,01,0a,3,0000000d859c6848,1,0
180,180,0,5043c00000008680,11,04,4,0000000d859c6895,1,0
181,181,0,5007c00000008180,11,04,4,0000000d859c68ab,1,0
182,182,0,5003c00000008280,11,04,4,0000000d859c68c1,1,0
183,183,0,5003c00000008380,11,04,4,0000000d859c68d7,1,0
184,184,0,5047c00000008480,11,04,4,0000000d859c68ed,1,0
185,185,0,5043c00000008580,11,04,4,0000000d859c6903,1,0
186,186,0,1807e00000008080,11,04,2,0000000d859c69df,1,0
187,187,0,180fe00000008180,11,04,2,0000000d859c6aa9,1,0
188,188,0,1817e00000008280,11,04,2,0000000d859c6aad,1,0
189,189,0,181fe00000008380,11,04,2,0000000d859c6ab1,1,0
190,190,0,1827e00000008480,11,04,2,0000000d859c6ab5,1,0
191,191,0,182fe00000008580,11,04,2,0000000d859c6ab9,1,0
192,192,0,1837e00000008680,11,04,2,0000000d859c6abd,1,0
193,193,0,2847f00000008680,01,06,0,0000000d859c6d71,1,0
194,194,0,2800300000008180,01,06,0,0000000d859c6d73,1,0
195,195,0,2804300000008280,01,06,0,0000000d859c6d75,1,0
196,196,0,2804300000008380,01,06,0,0000000d859c6d77,1,0
197,197,0,2844300000008480,01,06,0,0000000d859c6d79,1,0
198,198,0,2844300000008580,01,06,0,0000000d859c6d7b,1,0
199,199,0,5047c00000008680,11,04,4,0000000d859c6dbf,1,0
200,200,0,5003c00000008180,11,04,4,0000000d859c6dd5,1,0
201,201,0,5007c00000008280,11,04,4,0000000d859c6deb,1,0
202,202,0,5007c00000008380,11,04,4,0000000d859c6e01,1,0
203,203,0,5047c00000008480,11,04,4,0000000d859c6e17,1,0
204,204,0,5047c00000008580,11,04,4,0000000d859c6e2d,1,0
205,205,0,0007e00000008080,01,06,0,0000000d859c6e7f,1,0
206,206,0,180fe00000008180,11,04,2,0000000d859c6fd6,1,0
207,207,0,1817e00000008280,11,04,2,0000000d859c6fda,1,0
208,208,0,181fe00000008380,11,04,2,0000000d859c6fde,1,0
209,209,0,1827e00000008480,11,04,2,0000000d859c6fe2,1,0
210,210,0,182fe00000008580,11,04,2,0000000d859c6fe6,1,0
211,211,0,1837e00000008680,11,04,2,0000000d859c6fea,1,0
212,212,0,4807c00000008080,11,04,4,0000000d859c70e9,1,0
213,213,0,3807e00000008080,01,06,0,0000000d859c7290,1,0
214,214,0,2847f00000008680,01,06,0,0000000d859c729e,1,0
215,215,0,2800300000008180,01,06,0,0000000d859c72a0,1,0
216,216,0,2804300000008280,01,06,0,0000000d859c72a2,1,0
217,217,0,2800300000008380,01,06,0,0000000d859c72a4,1,0
218,218,0,2840300000008480,01,06,0,0000000d859c72a6,1,0
219,219,0,2840300000008580,01,06,0,0000000d859c72a8,1,0
220,220,0,5004000000008080,01,0a,3,0000000d859c72aa,1,0
221,221,0,5047c00000008680,11,04,4,0000000d859c72f7,1,0
222,222,0,5003c00000008180,11,04,4,0000000d859c730d,1,0
223,223,0,5007c00000008280,11,04,4,0000000d859c7323,1,0
224,224,0,5003c00000008380,11,04,4,0000000d859c7339,1,0
225,225,0,5043c00000008480,11,04,4,0000000d859c734f,1,0
226,226,0,5043c00000008580,11,04,4,0000000d859c7365,1,0
227,227,0,1807e00000008080,11,04,2,0000000d859c7440,1,0
228,228,0,180fe00000008180,11,04,2,0000000d859c7508,1,0
229,229,0,1817e00000008280,11,04,2,0000000d859c750c,1,0
