Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
142,142,0,0007e00000008200,11,05,2,0000002073818abb,1,0
143,143,0,5043c00000008600,11,05,4,0000002073818ac3,1,0
144,144,0,0007e00000008300,11,05,2,0000002073818ad3,1,0
145,145,0,0007e00000008400,11,05,2,0000002073818ae9,1,0
146,146,0,0007e00000008500,11,05,2,0000002073818b00,1,0
147,147,0,0007e00000008600,11,05,2,0000002073818b14,1,0
148,148,0,0007e00000008000,01,07,0,0000002073818b1e,1,0
149,149,0,4807c00000008000,11,05,4,0000002073818c70,1,0
150,150,0,3807e00000008000,01,07,0,0000002073818e0d,1,0
151,151,0,5004000000008000,01,0b,3,0000002073818e25,1,0
152,152,0,2800300000008100,01,07,0,0000002073818e27,1,0
153,153,0,2800300000008200,01,07,0,0000002073818e29,1,0
154,154,0,2804300000008300,01,07,0,0000002073818e2b,1,0
155,155,0,2844300000008400,01,07,0,0000002073818e2d,1,0
156,156,0,2840300000008500,01,07,0,0000002073818e2f,1,0
157,157,0,2840300000008600,01,07,0,0000002073818e31,1,0
158,158,0,5003c00000008100,11,05,4,0000002073818e73,1,0
159,159,0,5003c00000008200,11,05,4,0000002073818e89,1,0
160,160,0,5007c00000008300,11,05,4,0000002073818e9f,1,0
161,161,0,5047c00000008400,11,05,4,0000002073818eb5,1,0
162,162,0,0007e00000008100,11,05,2,0000002073818ec4,1,0
163,163,0,5043c00000008500,11,05,4,0000002073818ecb,1,0
164,164,0,0007e00000008200,11,05,2,0000002073818edb,1,0
165,165,0,5043c00000008600,11,05,4,0000002073818ee1,1,0
166,166,0,0007e00000008300,11,05,2,0000002073818ef1,1,0
167,167,0,0007e00000008400,11,05,2,0000002073818f07,1,0
168,168,0,0007e00000008500,11,05,2,0000002073818f1e,1,0
169,169,0,0007e00000008600,11,05,2,0000002073818f33,1,0
170,170,0,5803e40000008000,01,09,5,0000002073818f85,1,0
171,171,0,1803e00000008000,11,05,2,0000002073818fd2,1,0
172,172,0,2800300000008100,01,07,0,0000002073819245,1,0
173,173,0,2804300000008200,01,07,0,0000002073819247,1,0
174,174,0,2800300000008300,01,07,0,0000002073819249,1,0
175,175,0,2840300000008400,01,07,0,000000207381924b,1,0
176,176,0,2844300000008500,01,07,0,000000207381924d,1,0
177,177,0,2840300000008600,01,07,0,000000207381924f,1,0
178,178,0,5003c00000008100,11,05,4,0000002073819291,1,0
179,179,0,5007c00000008200,11,05,4,00000020738192aa,1,0
180,180,0,5003c00000008300,11,05,4,00000020738192c0,1,0
181,181,0,5043c00000008400,11,05,4,00000020738192d6,1,0
182,182,0,0007e00000008100,11,05,2,00000020738192e2,1,0
183,183,0,5047c00000008500,11,05,4,00000020738192ec,1,0
184,184,0,0007e00000008200,11,05,2,00000020738192fb,1,0
185,185,0,5043c00000008600,11,05,4,0000002073819302,1,0
186,186,0,0007e00000008300,11,05,2,0000002073819312,1,0
187,187,0,0007e00000008400,11,05,2,0000002073819329,1,0
188,188,0,0007e00000008500,11,05,2,000000207381933e,1,0
189,189,0,0007e00000008600,11,05,2,0000002073819355,1,0
190,190,0,0007e00000008000,01,07,0,000000207381935e,1,0
191,191,0,4807c00000008000,11,05,4,00000020738194af,1,0
192,192,0,3807e00000008000,01,07,0,0000002073819646,1,0
193,193,0,5004000000008000,01,0b,3,000000207381965e,1,0
194,194,0,2800300000008100,01,07,0,0000002073819660,1,0
195,195,0,2804300000008200,01,07,0,0000002073819662,1,0
196,196,0,2800300000008300,01,07,0,0000002073819664,1,0
197,197,0,2840300000008400,01,07,0,0000002073819666,1,0
198,198,0,2844300000008500,01,07,0,0000002073819668,1,0
199,199,0,2840300000008600,01,07,0,000000207381966a,1,0
200,200,0,5003c00000008100,11,05,4,00000020738196ac,1,0
201,201,0,5007c00000008200,11,05,4,00000020738196c2,1,0
202,202,0,5003c00000008300,11,05,4,00000020738196d8,1,0
203,203,0,5043c00000008400,11,05,4,00000020738196ee,1,0
204,204,0,0007e00000008100,11,05,2,00000020738196fc,1,0
205,205,0,5047c00000008500,11,05,4,0000002073819704,1,0
206,206,0,0007e00000008200,11,05,2,0000002073819713,1,0
207,207,0,5043c00000008600,11,05,4,000000207381971a,1,0
208,208,0,0007e00000008300,11,05,2,000000207381972a,1,0
209,209,0,0007e00000008400,11,05,2,0000002073819740,1,0
210,210,0,0007e00000008500,11,05,2,0000002073819756,1,0
