index,raw,opcode,message,timestamp,aliased_addr,cycles,dmask,hreq_id,ns,rreq_id,src,unaliased_addr,vc,xb2,xb3,xb4,xb5
17,0x4004200000000080,8,ECI_CMD_MRSP_HAKV,28284561.815000,80,5656912363,0,1,1,,1,80,10,,0,,0
18,0x0003e00000000080,0,ECI_CMD_MREQ_RLDD,2218441827.185000,80,443688365437,15,,1,0,0,80,6,0,0,0,
