index,raw,opcode,message,timestamp,aliased_addr,cycles,dmask,hreq_id,ns,rreq_id,src,unaliased_addr,vc,xb2,xb3,xb4,xb5
17,0x3004200000008080,6,ECI_CMD_MRSP_HAKI,21737094.485000,8080,4347418897,0,1,1,,1,8080,10,,0,,0
18,0x0007e00000000080,0,ECI_CMD_MREQ_RLDD,159060481.350000,80,31812096270,15,,1,1,0,80,6,0,0,0,
