eci_lat_cyc
70
642
223
205
202
202
201
202
200
202
206
202
203
202
200
202
201
202
202
200
202
201
202
202
201
201
201
202
202
201
200
202
202
202
201
200
201
202
202
202
202
200
203
202
202
202
200
200
201
202
