size,acquire_cyc,after_tx_commit_cyc,after_dma_read_cyc,exit_cyc,host_got_tx_buf_cyc,entry_cyc,after_rx_queue_cyc,after_dma_write_cyc,read_start_cyc,after_read_cyc,after_rx_commit_cyc,host_read_complete_cyc
4160,251589618,251589864,251590003,251590062,251588853,251590162,251590239,251590245,251590006,251590249,251590007,251594439
4160,251757078,251757324,251757463,251757526,251756331,251757624,251757700,251757706,251757467,251757710,251757468,251761904
4160,251924516,251924761,251924900,251924959,251923769,251925059,251925136,251925142,251924904,251925146,251924905,251929353
4160,252091930,252092176,252092315,252092377,252091178,252092475,252092552,252092558,252092319,252092562,252092320,252096767
4160,252262939,252263185,252263324,252263387,252262115,252263485,252263561,252263567,252263327,252263571,252263328,252267804
4160,252430625,252430871,252431010,252431069,252429849,252431169,252431246,252431252,252431012,252431256,252431013,252435468
4160,252598134,252598386,252598525,252598588,252597368,252598686,252598763,252598769,252598528,252598773,252598529,252602948
4160,252765551,252765797,252765936,252765998,252764793,252766096,252766172,252766178,252765937,252766182,252765938,252770366
4160,252932985,252933230,252933369,252933432,252932226,252933530,252933606,252933612,252933373,252933616,252933374,252937786
4160,253100391,253100638,253100777,253100840,253099653,253100937,253101014,253101020,253100779,253101024,253100780,253105200
4160,253271341,253271586,253271725,253271787,253270539,253271884,253271961,253271967,253271728,253271971,253271729,253276178
4160,253439026,253439272,253439411,253439473,253438258,253439570,253439647,253439653,253439414,253439657,253439415,253443856
4160,253606597,253606844,253606983,253607045,253605828,253607142,253607219,253607225,253606987,253607229,253606988,253611411
4160,253774020,253774266,253774405,253774467,253773265,253774565,253774641,253774647,253774408,253774651,253774409,253778839
4160,253941433,253941678,253941817,253941880,253940678,253941977,253942053,253942059,253941821,253942063,253941822,253946238
4160,254108795,254109040,254109179,254109241,254108040,254109339,254109416,254109422,254109183,254109426,254109184,254113606
4160,254279531,254279776,254279915,254279978,254278715,254280075,254280152,254280158,254279918,254280162,254279919,254284389
4160,254447256,254447502,254447641,254447703,254446471,254447800,254447877,254447883,254447643,254447887,254447644,254452111
4160,254614801,254615046,254615185,254615247,254614040,254615345,254615422,254615428,254615188,254615432,254615189,254619619
4160,254782312,254782557,254782696,254782759,254781556,254782856,254782933,254782939,254782697,254782943,254782698,254787122
